layer,tokens,time_us
act_fn,1,2.336
act_fn,2,2.31467
act_fn,3,2.304
act_fn,4,2.45333
act_fn,5,2.528
act_fn,6,2.47467
act_fn,7,2.48567
act_fn,8,2.48533
act_fn,9,2.48533
act_fn,10,2.48567
act_fn,11,2.48567
act_fn,12,2.53867
act_fn,13,2.53833
act_fn,14,2.528
act_fn,15,2.49633
act_fn,16,2.592
act_fn,20,2.38933
act_fn,24,2.443
act_fn,28,2.453
act_fn,32,2.496
act_fn,36,2.47467
act_fn,40,2.528
act_fn,44,2.528
act_fn,48,2.56033
act_fn,52,2.656
act_fn,56,2.65633
act_fn,60,2.67733
act_fn,64,2.74133
act_fn,80,3.10367
act_fn,96,3.17867
act_fn,112,3.232
act_fn,128,3.36033
act_fn,144,3.62633
act_fn,160,3.78633
act_fn,176,4.05333
act_fn,192,4.09633
act_fn,208,4.32
act_fn,224,4.56533
act_fn,240,4.68267
act_fn,256,5.02433
act_fn,272,5.85633
act_fn,288,6.34667
act_fn,304,6.72
act_fn,320,7.12533
act_fn,336,7.30667
act_fn,352,8.20267
act_fn,368,8.363
act_fn,384,8.50133
act_fn,400,9.22667
act_fn,416,10.038
act_fn,432,10.5813
act_fn,448,10.6027
act_fn,464,11.4453
act_fn,480,11.648
act_fn,496,12.704
act_fn,512,13.248
act_fn,528,13.152
act_fn,544,13.6113
act_fn,560,14.2613
act_fn,576,14.9763
act_fn,592,15.5103
act_fn,608,16.1283
act_fn,624,16.8
act_fn,640,17.4407
act_fn,656,15.9683
act_fn,672,16.427
act_fn,688,16.9393
act_fn,704,17.4403
act_fn,720,18.091
act_fn,736,18.5177
act_fn,752,18.912
act_fn,768,19.4463
act_fn,784,21.238
act_fn,800,21.8137
act_fn,816,22.2617
act_fn,832,22.7527
act_fn,848,23.3603
act_fn,864,23.6267
act_fn,880,24.342
act_fn,896,24.811
act_fn,912,25.216
act_fn,928,25.814
act_fn,944,26.2727
act_fn,960,26.7743
act_fn,976,27.169
act_fn,992,27.8087
act_fn,1008,28.097
act_fn,1024,28.6513
act_fn,1040,26.603
act_fn,1056,27.083
act_fn,1072,27.8303
act_fn,1088,28.214
act_fn,1104,28.6403
act_fn,1120,29.1423
act_fn,1136,29.6647
act_fn,1152,30.358
act_fn,1168,32.5443
act_fn,1184,32.9713
act_fn,1200,33.4617
act_fn,1216,34.0163
act_fn,1232,34.4327
act_fn,1248,34.8693
act_fn,1264,35.7017
act_fn,1280,35.798
act_fn,1296,36.843
act_fn,1312,36.9607
act_fn,1328,37.5787
act_fn,1344,38.0803
act_fn,1360,38.3363
act_fn,1376,38.7953
act_fn,1392,39.382
act_fn,1408,39.8513
act_fn,1424,37.195
act_fn,1440,37.6543
act_fn,1456,38.3157
act_fn,1472,39.0727
act_fn,1488,39.4993
act_fn,1504,39.958
act_fn,1520,40.5447
act_fn,1536,40.854
act_fn,1552,41.9417
act_fn,1568,42.497
act_fn,1584,43.2223
act_fn,1600,43.8837
act_fn,1616,44.6407
act_fn,1632,45.3557
act_fn,1648,46.081
act_fn,1664,46.881
act_fn,1680,47.1367
act_fn,1696,47.5743
act_fn,1712,48.1397
act_fn,1728,48.534
act_fn,1744,48.9397
act_fn,1760,49.345
act_fn,1776,49.7077
act_fn,1792,50.6353
act_fn,1808,47.8833
act_fn,1824,48.3953
act_fn,1840,48.7263
act_fn,1856,49.7927
act_fn,1872,50.0383
act_fn,1888,50.8167
act_fn,1904,51.3823
act_fn,1920,51.7873
act_fn,1936,52.8543
act_fn,1952,53.3877
act_fn,1968,54.1343
act_fn,1984,54.241
act_fn,2000,54.721
act_fn,2016,55.4573
act_fn,2032,55.7127
act_fn,2048,56.0967
act_fn,2064,57.1847
act_fn,2080,57.814
act_fn,2096,57.9743
act_fn,2112,58.764
act_fn,2128,59.2117
act_fn,2144,59.521
act_fn,2160,60.001
act_fn,2176,60.4917
act_fn,2192,58.1657
act_fn,2208,58.998
act_fn,2224,59.457
act_fn,2240,59.8517
act_fn,2256,60.8223
act_fn,2272,61.1427
act_fn,2288,61.8787
act_fn,2304,62.1453
act_fn,2320,63.7127
act_fn,2336,64.097
act_fn,2352,64.812
act_fn,2368,64.993
act_fn,2384,66.017
act_fn,2400,66.2943
act_fn,2416,66.6467
act_fn,2432,66.9777
act_fn,2448,67.2333
act_fn,2464,67.4143
act_fn,2480,68.0867
act_fn,2496,68.3217
act_fn,2512,68.5877
act_fn,2528,68.9503
act_fn,2544,69.708
act_fn,2560,69.7937
act_fn,2576,67.777
act_fn,2592,68.8013
act_fn,2608,69.5267
act_fn,2624,69.6543
act_fn,2640,70.209
act_fn,2656,71.479
act_fn,2672,72.3957
act_fn,2688,72.6623
act_fn,2704,73.516
act_fn,2720,74.529
act_fn,2736,74.999
act_fn,2752,76.5667
act_fn,2768,76.1933
act_fn,2784,76.4813
act_fn,2800,76.9083
act_fn,2816,77.4093
act_fn,2832,75.3187
act_fn,2848,76.1507
act_fn,2864,76.492
act_fn,2880,76.6947
act_fn,2896,76.833
act_fn,2912,77.121
act_fn,2928,77.836
act_fn,2944,78.3263
act_fn,2960,80.2257
act_fn,2976,80.7373
act_fn,2992,81.079
act_fn,3008,81.452
act_fn,3024,81.804
act_fn,3040,82.156
act_fn,3056,82.8387
act_fn,3072,83.393
act_fn,3088,84.108
act_fn,3104,84.6307
act_fn,3120,85.4417
act_fn,3136,85.634
act_fn,3152,86.0707
act_fn,3168,86.9347
act_fn,3184,87.0627
act_fn,3200,87.479
act_fn,3216,84.8227
act_fn,3232,85.1537
act_fn,3248,85.3777
act_fn,3264,86.4333
act_fn,3280,86.7103
act_fn,3296,87.415
act_fn,3312,88.0977
act_fn,3328,88.012
act_fn,3344,90.0177
act_fn,3360,90.3163
act_fn,3376,91.2337
act_fn,3392,91.6603
act_fn,3408,92.194
act_fn,3424,92.9503
act_fn,3440,93.964
act_fn,3456,94.466
act_fn,3472,94.7
act_fn,3488,95.3193
act_fn,3504,95.98
act_fn,3520,96.5987
act_fn,3536,96.503
act_fn,3552,96.7803
act_fn,3568,97.7507
act_fn,3584,98.0713
act_fn,3600,94.199
act_fn,3616,94.7963
act_fn,3632,95.4573
act_fn,3648,96.194
act_fn,3664,96.823
act_fn,3680,97.5477
act_fn,3696,98.1563
act_fn,3712,98.8073
act_fn,3728,100.738
act_fn,3744,101.783
act_fn,3760,102.007
act_fn,3776,102.551
act_fn,3792,102.775
act_fn,3808,103.255
act_fn,3824,103.821
act_fn,3840,104.279
act_fn,3856,104.652
act_fn,3872,105.954
act_fn,3888,106.103
act_fn,3904,106.316
act_fn,3920,107.447
act_fn,3936,107.405
act_fn,3952,107.362
act_fn,3968,108.29
act_fn,3984,106.135
act_fn,4000,106.765
act_fn,4016,107.202
act_fn,4032,107.65
act_fn,4048,108.237
act_fn,4064,108.717
act_fn,4080,109.207
act_fn,4096,109.431
act_fn,4112,110.135
act_fn,4128,111.052
act_fn,4144,112.13
act_fn,4160,112.045
act_fn,4176,113.144
act_fn,4192,113.634
act_fn,4208,113.901
act_fn,4224,114.797
act_fn,4240,115.373
act_fn,4256,115.725
act_fn,4272,116.429
act_fn,4288,116.791
act_fn,4304,116.866
act_fn,4320,117.484
act_fn,4336,118.093
act_fn,4352,118.616
act_fn,4368,116.162
act_fn,4384,116.94
act_fn,4400,117.666
act_fn,4416,118.082
act_fn,4432,118.562
act_fn,4448,119.352
act_fn,4464,119.779
act_fn,4480,120.322
act_fn,4496,121.303
act_fn,4512,122.125
act_fn,4528,122.317
act_fn,4544,122.967
act_fn,4560,123.714
act_fn,4576,124.311
act_fn,4592,124.845
act_fn,4608,124.93
act_fn,4624,123.458
act_fn,4640,123.672
act_fn,4656,123.981
