regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,65.376,75.681,74.177,0.8541
pure,2,1,0.5,4.0,0,0,512,2048,1280,107.745,119.264,112.226,0.389
pure,2,1,0.5,4.0,0,0,2048,8192,5120,194.34,242.212,181.636,-0.2654
pure,2,1,0.5,4.0,0,0,8192,32768,20480,495.144,758.191,515.658,0.078
mixed,2,1,0.5,4.0,16,0,128,512,320,78.147,112.13,111.651,0.9859
mixed,2,1,0.5,4.0,16,0,512,2048,1280,220.74,329.191,326.374,0.974
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,760.911,1191.543,1187.0,0.9895
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,2915.128,4640.053,4636.537,0.998
mixed,2,1,0.5,4.0,16,512,128,512,320,112.675,114.052,112.768,0.0675
mixed,2,1,0.5,4.0,16,512,512,2048,1280,220.164,329.255,326.983,0.9792
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,761.743,1193.814,1188.822,0.9884
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,2921.144,4646.646,4638.137,0.9951
mixed,2,1,0.5,4.0,16,2048,128,512,320,328.773,328.679,328.709,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,329.67,329.414,329.062,
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,760.717,1192.181,1188.726,0.992
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,2917.719,4642.838,4634.393,0.9951
mixed,2,1,0.5,4.0,16,8192,128,512,320,1194.904,1195.063,1194.872,-0.2013
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,1194.39,1195.254,1195.287,1.0382
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1195.574,1194.773,1193.463,
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,2916.406,4642.868,4634.2,0.995
mixed,2,1,0.5,4.0,16,20480,128,512,320,2918.967,2919.317,2919.063,0.2743
mixed,2,1,0.5,4.0,16,20480,512,2048,1280,2919.446,2919.225,2919.702,
mixed,2,1,0.5,4.0,16,20480,2048,8192,5120,2920.566,2921.72,2919.702,-0.7487
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,2921.784,4647.19,4629.143,0.9895
mixed,2,1,0.5,4.0,64,0,128,512,320,78.595,112.482,111.779,0.9793
mixed,2,1,0.5,4.0,64,0,512,2048,1280,221.476,329.348,326.502,0.9736
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,759.661,1191.446,1183.798,0.9823
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,2911.414,4635.221,4626.52,0.995
mixed,2,1,0.5,4.0,64,512,128,512,320,114.562,115.203,114.627,0.1014
mixed,2,1,0.5,4.0,64,512,512,2048,1280,221.028,329.381,327.013,0.9781
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,760.302,1191.67,1188.567,0.9928
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,2916.15,4639.766,4633.337,0.9963
mixed,2,1,0.5,4.0,64,2048,128,512,320,329.925,330.983,330.021,0.0907
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,331.238,331.047,330.662,
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,759.63,1190.934,1186.453,0.9896
mixed,2,1,0.5,4.0,64,2048,8192,32768,20480,2914.678,4642.808,4635.51,0.9958
mixed,2,1,0.5,4.0,64,8192,128,512,320,1194.646,1195.221,1195.574,1.6139
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,1196.823,1197.109,1196.023,-2.7972
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,1196.789,1195.256,1194.998,
mixed,2,1,0.5,4.0,64,8192,8192,32768,20480,2914.774,4636.28,4636.118,0.9999
mixed,2,1,0.5,4.0,64,20480,128,512,320,2918.359,2919.093,2919.287,1.2643
mixed,2,1,0.5,4.0,64,20480,512,2048,1280,2920.823,2920.246,2919.191,
mixed,2,1,0.5,4.0,64,20480,2048,8192,5120,2920.215,2922.742,2919.988,-0.0898
mixed,2,1,0.5,4.0,64,20480,8192,32768,20480,2918.422,4639.381,4636.278,0.9982
mixed,2,1,0.5,4.0,256,0,128,512,320,87.97,121.762,120.258,0.9555
mixed,2,1,0.5,4.0,256,0,512,2048,1280,227.875,335.974,332.519,0.968
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,766.925,1196.918,1191.256,0.9868
mixed,2,1,0.5,4.0,256,0,8192,32768,20480,2918.355,4637.974,4618.551,0.9887
mixed,2,1,0.5,4.0,256,512,128,512,320,142.209,141.123,141.38,
mixed,2,1,0.5,4.0,256,512,512,2048,1280,228.42,335.813,333.894,0.9821
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,766.926,1196.662,1188.822,0.9818
mixed,2,1,0.5,4.0,256,512,8192,32768,20480,2919.51,4635.799,4628.085,0.9955
mixed,2,1,0.5,4.0,256,2048,128,512,320,355.078,355.4,355.464,1.1988
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,356.745,356.903,356.552,-1.2215
mixed,2,1,0.5,4.0,256,2048,2048,8192,5120,767.917,1196.503,1192.279,0.9901
mixed,2,1,0.5,4.0,256,2048,8192,32768,20480,2917.685,4639.062,4625.237,0.992
mixed,2,1,0.5,4.0,256,8192,128,512,320,1214.005,1215.158,1213.814,-0.1657
mixed,2,1,0.5,4.0,256,8192,512,2048,1280,1212.501,1216.951,1214.421,0.4315
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,1214.583,1217.494,1212.376,-0.7582
mixed,2,1,0.5,4.0,256,8192,8192,32768,20480,2918.901,4638.068,4638.197,1.0001
mixed,2,1,0.5,4.0,256,20480,128,512,320,2933.049,2928.184,2924.47,
mixed,2,1,0.5,4.0,256,20480,512,2048,1280,2922.357,2930.07,2939.669,2.2445
mixed,2,1,0.5,4.0,256,20480,2048,8192,5120,2927.062,2923.829,2925.267,
mixed,2,1,0.5,4.0,256,20480,8192,32768,20480,2935.959,4639.894,4635.764,0.9976
mixed,2,1,0.5,4.0,1024,0,128,512,320,339.397,339.942,340.553,2.1211
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,413.319,518.504,504.649,0.8683
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,940.177,1364.409,1356.729,0.9819
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,3047.032,4754.041,4729.462,0.9856
mixed,2,1,0.5,4.0,1024,512,128,512,320,495.847,500.168,497.45,0.371
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,525.865,653.422,605.451,0.6239
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,1074.708,1496.764,1492.252,0.9893
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,3186.491,4876.665,4859.609,0.9899
mixed,2,1,0.5,4.0,1024,2048,128,512,320,918.065,923.44,916.945,-0.2084
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,1035.315,1125.173,1015.699,-0.2183
mixed,2,1,0.5,4.0,1024,2048,2048,8192,5120,1508.221,1941.283,1882.432,0.8641
mixed,2,1,0.5,4.0,1024,2048,8192,32768,20480,3666.176,5396.068,5369.09,0.9844
mixed,2,1,0.5,4.0,1024,8192,128,512,320,2596.495,2603.024,2595.535,-0.147
mixed,2,1,0.5,4.0,1024,8192,512,2048,1280,2710.416,2823.7,2691.664,-0.1655
mixed,2,1,0.5,4.0,1024,8192,2048,8192,5120,3260.992,3659.011,2932.728,-0.8247
mixed,2,1,0.5,4.0,1024,8192,8192,32768,20480,5352.769,7079.907,7035.233,0.9741
mixed,2,1,0.5,4.0,1024,20480,128,512,320,5968.237,5972.431,5976.141,1.8846
mixed,2,1,0.5,4.0,1024,20480,512,2048,1280,6081.008,6194.768,6057.326,-0.2082
mixed,2,1,0.5,4.0,1024,20480,2048,8192,5120,6656.249,7079.04,6321.173,-0.7925
mixed,2,1,0.5,4.0,1024,20480,8192,32768,20480,8706.369,10428.765,10381.916,0.9728
mixed,2,1,0.5,4.0,4096,0,128,512,320,2802.131,2809.749,2806.738,0.6048
mixed,2,1,0.5,4.0,4096,0,512,2048,1280,2831.699,2856.882,2834.131,0.0966
