prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.3577
0,0,1,32,14.4217
0,0,1,64,14.507
0,0,1,128,19.681
0,0,1,256,19.9893
0,0,1,512,20.4703
0,0,1,1024,22.0487
0,0,1,2048,25.0257
0,0,1,4096,37.6123
0,0,1,8192,55.4583
0,0,1,16384,81.9123
0,0,1,32768,141.382
0,0,2,16,20.0863
0,0,2,32,20.1817
0,0,2,64,20.299
0,0,2,128,23.841
0,0,2,256,24.2463
0,0,2,512,25.377
0,0,2,1024,32.7153
0,0,2,2048,39.852
0,0,2,4096,55.5433
0,0,2,8192,80.9643
0,0,2,16384,140.848
0,0,2,32768,252.767
0,0,4,16,20.076
0,0,4,32,20.1503
0,0,4,64,20.2887
0,0,4,128,24.0117
0,0,4,256,24.9707
0,0,4,512,32.1827
0,0,4,1024,38.882
0,0,4,2048,60.984
0,0,4,4096,87.0007
0,0,4,8192,138.319
0,0,4,16384,238.814
0,0,4,32768,438.939
0,0,8,16,20.023
0,0,8,32,20.171
0,0,8,64,20.7047
0,0,8,128,24.6307
0,0,8,256,33.2803
0,0,8,512,45.699
0,0,8,1024,59.1487
0,0,8,2048,85.9347
0,0,8,4096,136.71
0,0,8,8192,237.022
0,0,8,16384,438.47
0,0,8,32768,838.305
0,0,16,16,20.4697
0,0,16,32,20.9387
0,0,16,64,21.7077
0,0,16,128,34.0917
0,0,16,256,46.306
0,0,16,512,59.3407
0,0,16,1024,85.3467
0,0,16,2048,134.928
0,0,16,4096,236.617
0,0,16,8192,439.419
0,0,16,16384,842.165
0,0,16,32768,1643.28
0,0,32,16,28.7907
0,0,32,32,29.378
0,0,32,64,30.6363
0,0,32,128,41.4733
0,0,32,256,56.077
0,0,32,512,81.4427
0,0,32,1024,131.248
0,0,32,2048,232.809
0,0,32,4096,436.794
0,0,32,8192,840.373
0,0,32,16384,1649.58
0,0,32,32768,3282.03
0,0,64,16,44.567
0,0,64,32,45.2503
0,0,64,64,48.2787
0,0,64,128,69.9753
0,0,64,256,96.345
0,0,64,512,147.856
0,0,64,1024,249.012
0,0,64,2048,452.828
0,0,64,4096,861.856
0,0,64,8192,1675.49
0,0,64,16384,3288.38
0,0,64,32768,6584.08
0,0,128,16,76.782
0,0,128,32,78.7863
0,0,128,64,81.5177
0,0,128,128,127.578
0,0,128,256,178.598
0,0,128,512,280.49
0,0,128,1024,483.122
0,0,128,2048,892.982
0,0,128,4096,1702.85
0,0,128,8192,3330.59
0,0,128,16384,6570.75
0,0,256,16,142.491
0,0,256,32,144.293
0,0,256,64,148.336
0,0,256,128,238.633
0,0,256,256,338.935
0,0,256,512,542.696
0,0,256,1024,944.184
0,0,256,2048,1765.18
0,0,256,4096,3387.09
0,0,256,8192,6639.44
16,0,0,0,14.7523
16,0,1,16,14.5077
16,0,1,32,14.5927
16,0,1,64,14.5707
16,0,1,128,19.5207
16,0,1,256,25.387
16,0,1,512,37.1533
16,0,1,1024,61.0153
16,0,1,2048,108.964
16,0,1,4096,205.266
16,0,1,8192,396.505
16,0,1,16384,779.036
16,0,1,32768,1544.08
16,0,2,16,14.6137
16,0,2,32,14.6137
16,0,2,64,14.5817
16,0,2,128,19.6273
16,0,2,256,25.58
16,0,2,512,37.484
16,0,2,1024,61.5173
16,0,2,2048,109.732
16,0,2,4096,205.778
16,0,2,8192,397.347
16,0,2,16384,780.828
16,0,2,32768,1547.78
16,0,4,16,14.667
16,0,4,32,14.614
16,0,4,64,14.6563
16,0,4,128,19.6487
16,0,4,256,25.6437
16,0,4,512,37.3773
16,0,4,1024,61.528
16,0,4,2048,110.052
16,0,4,4096,206.322
16,0,4,8192,397.924
16,0,4,16384,781.532
16,0,4,32768,1547.06
16,0,8,16,22.5283
16,0,8,32,22.614
16,0,8,64,22.7527
16,0,8,128,29.6973
16,0,8,256,35.5423
16,0,8,512,47.415
16,0,8,1024,71.0313
16,0,8,2048,117.999
16,0,8,4096,213.917
16,0,8,8192,403.939
16,0,8,16384,786.449
16,0,8,32768,1552.73
16,0,16,16,23.0197
16,0,16,32,23.147
16,0,16,64,23.713
16,0,16,128,34.2303
16,0,16,256,46.4863
16,0,16,512,71.4373
16,0,16,1024,120.537
16,0,16,2048,217.469
16,0,16,4096,411.865
16,0,16,8192,800.093
16,0,16,16384,1576.39
16,0,16,32768,3125.92
16,0,32,16,38.5397
16,0,32,32,38.9027
16,0,32,64,39.5857
16,0,32,128,61.7413
16,0,32,256,86.0937
16,0,32,512,134.49
16,0,32,1024,231.997
