pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0315,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0775,1
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0143,1
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.2654,1
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.8541,1
0,n<=2,sr<=70%,kvB<=32k,kp=0,0.078,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.389,1
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.4253,3
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.5872,3
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.4254,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.4303,3
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.3061,1
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.5536,1
0,n<=32,sr<=40%,kvB<=32k,kp=0,0.3085,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.2973,1
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.4548,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.3834,1
0,n<=32,sr<=5%,kvB<=32k,kp=0,0.4576,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.4528,1
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.3454,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.7418,1
0,n<=32,sr<=70%,kvB<=32k,kp=0,0.3167,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.424,1
0,n<=32,sr>70%,kvB<=16k,kp=0,0.9494,2
0,n<=32,sr>70%,kvB<=1k,kp=0,1.474,2
0,n<=32,sr>70%,kvB<=32k,kp=0,0.9015,2
0,n<=32,sr>70%,kvB<=4k,kp=0,0.9124,2
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1936,1
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.2645,1
0,n<=8,sr<=15%,kvB<=32k,kp=0,0.2112,1
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.2567,1
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0206,2
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.1448,2
0,n<=8,sr<=40%,kvB<=32k,kp=0,0.0413,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0439,2
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0093,1
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.2932,1
0,n<=8,sr<=70%,kvB<=32k,kp=0,0.0095,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.3289,1
0,n<=8,sr>70%,kvB<=16k,kp=0,0.8567,2
0,n<=8,sr>70%,kvB<=1k,kp=0,0.4223,2
0,n<=8,sr>70%,kvB<=32k,kp=0,0.8948,2
0,n<=8,sr>70%,kvB<=4k,kp=0,1.1256,2
16,n<=2,sr<=70%,kvB<=16k,kp<=20k,-0.7487,1
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.992,1
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9884,1
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9895,1
16,n<=2,sr<=70%,kvB<=1k,kp<=20k,0.2743,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.0675,1
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,-0.2013,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9859,1
16,n<=2,sr<=70%,kvB<=32k,kp<=20k,0.9895,1
16,n<=2,sr<=70%,kvB<=32k,kp<=2k,0.9951,1
16,n<=2,sr<=70%,kvB<=32k,kp<=512,0.9951,1
16,n<=2,sr<=70%,kvB<=32k,kp<=8k,0.995,1
16,n<=2,sr<=70%,kvB<=32k,kp=0,0.998,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.9792,1
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,1.0382,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.974,1
16,n<=32,sr<=15%,kvB<=16k,kp<=20k,-0.01,3
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.2037,3
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.1981,3
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,-0.0072,3
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.1982,3
16,n<=32,sr<=15%,kvB<=1k,kp<=20k,0.0154,3
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0287,3
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0271,3
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0349,3
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.2381,3
16,n<=32,sr<=15%,kvB<=32k,kp<=20k,0.1366,3
16,n<=32,sr<=15%,kvB<=32k,kp<=2k,0.2001,3
16,n<=32,sr<=15%,kvB<=32k,kp<=512,0.2009,3
16,n<=32,sr<=15%,kvB<=32k,kp<=8k,0.2012,3
16,n<=32,sr<=15%,kvB<=32k,kp=0,0.1996,3
16,n<=32,sr<=15%,kvB<=4k,kp<=20k,0.0403,3
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0331,3
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.2324,3
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0352,3
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.2043,3
16,n<=32,sr<=40%,kvB<=16k,kp<=20k,-0.0284,1
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.2242,1
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.2211,1
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,-0.0273,1
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.2228,1
16,n<=32,sr<=40%,kvB<=1k,kp<=20k,0.1971,1
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.2357,1
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.2227,1
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.2371,1
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.3942,1
16,n<=32,sr<=40%,kvB<=32k,kp<=20k,0.1596,1
16,n<=32,sr<=40%,kvB<=32k,kp<=2k,0.2311,1
16,n<=32,sr<=40%,kvB<=32k,kp<=512,0.2277,1
16,n<=32,sr<=40%,kvB<=32k,kp<=8k,0.2283,1
16,n<=32,sr<=40%,kvB<=32k,kp=0,0.2298,1
16,n<=32,sr<=40%,kvB<=4k,kp<=20k,-0.0904,1
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,-0.0919,1
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.181,1
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,-0.0905,1
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.1813,1
16,n<=32,sr<=5%,kvB<=16k,kp<=20k,-0.0249,1
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.2234,1
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.2267,1
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,-0.0166,1
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.2265,1
16,n<=32,sr<=5%,kvB<=1k,kp<=20k,-0.0128,1
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,-0.0155,1
16,n<=32,sr<=5%,kvB<=1k,kp<=512,-0.008,1
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,-0.0207,1
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.2239,1
16,n<=32,sr<=5%,kvB<=32k,kp<=20k,0.1159,1
16,n<=32,sr<=5%,kvB<=32k,kp<=2k,0.2233,1
16,n<=32,sr<=5%,kvB<=32k,kp<=512,0.2233,1
16,n<=32,sr<=5%,kvB<=32k,kp<=8k,0.2185,1
16,n<=32,sr<=5%,kvB<=32k,kp=0,0.2228,1
16,n<=32,sr<=5%,kvB<=4k,kp<=20k,-0.0068,1
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,-0.0022,1
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.2348,1
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,-0.0067,1
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.2317,1
16,n<=32,sr<=70%,kvB<=16k,kp<=20k,0.1641,1
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.2181,1
16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.2226,1
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.1506,1
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.2208,1
