prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,16,256,124.908
16,16,16,512,196.055
16,16,16,1024,340.739
16,16,16,2048,628.859
16,16,16,4096,1250.58
16,16,16,8192,1250.63
16,16,32,16,99.3933
16,16,32,32,100.417
16,16,32,64,102.209
16,16,32,128,168.46
16,16,32,256,240.152
16,16,32,512,384.121
16,16,32,1024,675.206
16,16,32,2048,1246.9
16,16,32,4096,2487.61
16,16,32,8192,2484.58
16,16,64,16,184.449
16,16,64,32,186.381
16,16,64,64,190.733
16,16,64,128,321.134
16,16,64,256,463.375
16,16,64,512,751.527
16,16,64,1024,1327.45
16,16,64,2048,2477.06
16,16,64,4096,4946.76
16,16,64,8192,4944.79
16,16,128,16,360.036
16,16,128,32,364.9
16,16,128,64,374.991
16,16,128,128,646.855
16,16,128,256,929.865
16,16,128,512,1494.38
16,16,128,1024,2635.01
16,16,128,2048,4936.21
16,16,128,4096,9949
16,16,128,8192,9969.54
16,32,0,0,14.9657
16,32,1,16,14.966
16,32,1,32,14.9763
16,32,1,64,14.976
16,32,1,128,19.7337
16,32,1,256,25.6853
16,32,1,512,37.5793
16,32,1,1024,61.484
16,32,1,2048,109.238
16,32,1,4096,213.708
16,32,1,8192,213.57
16,32,2,16,22.603
16,32,2,32,22.6997
16,32,2,64,22.934
16,32,2,128,28.9073
16,32,2,256,34.764
16,32,2,512,46.678
16,32,2,1024,70.859
16,32,2,2048,118.188
16,32,2,4096,220.226
16,32,2,8192,220.002
16,32,4,16,22.8697
16,32,4,32,23.1043
16,32,4,64,23.4247
16,32,4,128,33.4723
16,32,4,256,45.4083
16,32,4,512,69.131
16,32,4,1024,116.769
16,32,4,2048,212.77
16,32,4,4096,422.032
16,32,4,8192,421.476
16,32,8,16,38.1127
16,32,8,32,38.3253
16,32,8,64,39.0937
16,32,8,128,55.062
16,32,8,256,72.79
16,32,8,512,108.151
16,32,8,1024,180.205
16,32,8,2048,323.47
16,32,8,4096,631.473
16,32,8,8192,631.698
16,32,16,16,53.6643
16,32,16,32,54.2293
16,32,16,64,55.574
16,32,16,128,88.6513
16,32,16,256,124.908
16,32,16,512,196.301
16,32,16,1024,340.633
16,32,16,2048,629.159
16,32,16,4096,1250.14
16,32,16,8192,1249.54
16,32,32,16,99.3503
16,32,32,32,100.257
16,32,32,64,102.476
16,32,32,128,168.226
16,32,32,256,240.291
16,32,32,512,384.079
16,32,32,1024,674.705
16,32,32,2048,1246.24
16,32,32,4096,2488.24
16,32,32,8192,2485.96
16,32,64,16,184.461
16,32,64,32,186.466
16,32,64,64,190.946
16,32,64,128,320.974
16,32,64,256,464.229
16,32,64,512,752.445
16,32,64,1024,1328.09
16,32,64,2048,2477.82
16,32,64,4096,4948.32
16,32,64,8192,4952.08
16,32,128,16,359.972
16,32,128,32,364.559
16,32,128,64,374.991
16,32,128,128,647.197
16,32,128,256,930.548
16,32,128,512,1495.91
16,32,128,1024,2634.64
16,32,128,2048,4945.25
16,32,128,4096,9958.61
16,32,128,8192,9969.3
16,64,0,0,15.051
16,64,1,16,14.9547
16,64,1,32,15.062
16,64,1,64,15.1147
16,64,1,128,19.744
16,64,1,256,25.7073
16,64,1,512,37.5473
16,64,1,1024,61.5687
16,64,1,2048,109.409
16,64,1,4096,213.09
16,64,1,8192,213.378
16,64,2,16,22.688
16,64,2,32,22.774
16,64,2,64,23.0613
16,64,2,128,29.1307
16,64,2,256,35.1683
16,64,2,512,46.635
16,64,2,1024,70.742
16,64,2,2048,118.178
16,64,2,4096,219.864
16,64,2,8192,220.109
16,64,4,16,22.9653
16,64,4,32,23.147
16,64,4,64,23.6267
16,64,4,128,33.5363
16,64,4,256,45.5363
16,64,4,512,69.387
16,64,4,1024,116.801
16,64,4,2048,212.941
16,64,4,4096,421.936
16,64,4,8192,421.53
16,64,8,16,38.1553
