pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0074,4
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0152,4
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0171,4
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0176,4
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0175,4
16,n<=128,sr<=5%,kvB<=8k,kp<=2k,0.0198,4
16,n<=128,sr<=5%,kvB<=8k,kp<=512,0.0169,4
16,n<=128,sr<=5%,kvB<=8k,kp<=8k,-0.0148,4
16,n<=128,sr<=5%,kvB<=8k,kp=0,0.0185,4
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.2335,1
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.2124,1
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.2257,1
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.2099,1
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0085,1
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0108,1
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.0079,1
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0168,1
16,n<=128,sr<=70%,kvB<=8k,kp<=512,-358.2934,1
16,n<=128,sr<=70%,kvB<=8k,kp<=8k,-3515.8699,1
16,n<=128,sr<=70%,kvB<=8k,kp=0,-795.1637,1
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.4282,2
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.4044,2
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.4591,2
16,n<=128,sr>70%,kvB<=1k,kp=0,0.3946,2
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.0748,2
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.0668,2
16,n<=128,sr>70%,kvB<=4k,kp<=8k,0.09,2
16,n<=128,sr>70%,kvB<=4k,kp=0,0.0526,2
16,n<=128,sr>70%,kvB<=8k,kp<=2k,-240.7412,1
16,n<=128,sr>70%,kvB<=8k,kp<=512,-209.9356,1
16,n<=128,sr>70%,kvB<=8k,kp=0,-106.2186,1
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.6443,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,-0.581,1
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,-0.5512,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9868,1
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,-0.9366,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.9559,1
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,-0.9351,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.971,1
16,n<=2,sr<=70%,kvB<=8k,kp<=512,1.7716,1
16,n<=2,sr<=70%,kvB<=8k,kp<=8k,-403.1296,1
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0899,3
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0779,3
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.091,3
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.1342,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0465,3
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0939,3
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0285,3
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.088,4
16,n<=32,sr<=15%,kvB<=8k,kp<=2k,-0.0984,3
16,n<=32,sr<=15%,kvB<=8k,kp<=512,-0.1241,3
16,n<=32,sr<=15%,kvB<=8k,kp<=8k,-0.2347,3
16,n<=32,sr<=15%,kvB<=8k,kp=0,-0.1374,3
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.2465,1
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.2221,1
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.2383,1
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.2453,1
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,-0.0106,1
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.0604,1
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,-0.0385,1
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.0393,1
16,n<=32,sr<=40%,kvB<=8k,kp<=2k,-1.3852,1
16,n<=32,sr<=40%,kvB<=8k,kp<=512,-1.3075,1
16,n<=32,sr<=40%,kvB<=8k,kp<=8k,-1.8843,1
16,n<=32,sr<=40%,kvB<=8k,kp=0,-1.3396,1
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0467,1
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0163,1
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0332,1
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.0705,1
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0334,1
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.0827,1
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.0344,1
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.0774,1
16,n<=32,sr<=5%,kvB<=8k,kp<=2k,0.0638,1
16,n<=32,sr<=5%,kvB<=8k,kp<=512,0.0544,1
16,n<=32,sr<=5%,kvB<=8k,kp<=8k,-0.0655,1
16,n<=32,sr<=5%,kvB<=8k,kp=0,0.0508,1
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.2007,1
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.1936,1
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.1754,1
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.2226,1
