regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,81.475,114.849,112.352,0.9252
pure,2,1,0.5,4.0,0,0,512,2048,1280,223.652,331.238,327.975,0.9697
pure,2,1,0.5,4.0,0,0,2048,8192,5120,644.33,642.025,640.266,
mixed,2,1,0.5,4.0,16,0,128,512,320,105.506,139.426,138.979,0.9868
mixed,2,1,0.5,4.0,16,0,512,2048,1280,247.621,354.629,351.526,0.971
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,661.772,659.786,656.779,
mixed,2,1,0.5,4.0,16,512,128,512,320,176.355,209.571,157.058,-0.581
mixed,2,1,0.5,4.0,16,512,512,2048,1280,318.246,425.543,420.807,0.9559
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,736.428,737.006,737.452,1.7716
mixed,2,1,0.5,4.0,16,2048,128,512,320,390.504,420.903,370.918,-0.6443
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,527.753,638.252,424.263,-0.9366
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,972.817,972.016,966.352,
mixed,2,1,0.5,4.0,16,8192,128,512,320,697.935,734.573,677.739,-0.5512
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,847.727,967.058,736.141,-0.9351
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1270.232,1270.965,974.738,-403.1296
mixed,2,1,0.5,4.0,64,0,128,512,320,109.09,142.147,141.154,0.97
mixed,2,1,0.5,4.0,64,0,512,2048,1280,249.027,356.134,353.509,0.9755
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,661.738,663.949,661.77,0.0145
mixed,2,1,0.5,4.0,64,512,128,512,320,179.779,211.428,159.073,-0.6542
mixed,2,1,0.5,4.0,64,512,512,2048,1280,321.414,428.36,422.918,0.9491
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,738.766,740.524,735.596,-1.8032
mixed,2,1,0.5,4.0,64,2048,128,512,320,390.63,421.736,370.919,-0.6337
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,530.795,639.404,425.449,-0.97
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,974.257,974.003,965.714,
mixed,2,1,0.5,4.0,64,8192,128,512,320,700.205,736.205,675.468,-0.6871
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,847.759,967.985,737.997,-0.913
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,1271.702,1272.055,971.345,-850.8697
mixed,2,1,0.5,4.0,256,0,128,512,320,148.548,203.94,186.596,0.6869
mixed,2,1,0.5,4.0,256,0,512,2048,1280,310.182,414.822,413.543,0.9878
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,725.006,724.813,718.669,
mixed,2,1,0.5,4.0,256,512,128,512,320,264.643,326.118,273.475,0.1437
