pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0721,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0103,2
0,n<=128,sr<=15%,kvB<=8k,kp=0,-0.2084,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0862,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0067,1
0,n<=128,sr<=40%,kvB<=8k,kp=0,-1.6077,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0119,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0262,4
0,n<=128,sr<=5%,kvB<=8k,kp=0,-0.006,4
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0085,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0238,1
0,n<=128,sr>70%,kvB<=1k,kp=0,0.1912,2
0,n<=128,sr>70%,kvB<=4k,kp=0,0.037,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.9372,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.9829,1
0,n<=2,sr<=70%,kvB<=8k,kp=0,-3.6711,1
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0767,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.008,2
0,n<=256,sr<=15%,kvB<=8k,kp=0,-0.2156,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0927,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.004,1
0,n<=256,sr<=40%,kvB<=8k,kp=0,-1.6649,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0061,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0065,4
0,n<=256,sr<=5%,kvB<=8k,kp=0,0.0049,4
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.009,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0125,1
0,n<=256,sr>70%,kvB<=1k,kp=0,0.2312,2
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0057,2
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1949,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.1376,3
0,n<=32,sr<=15%,kvB<=8k,kp=0,-0.1075,3
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.194,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.128,1
0,n<=32,sr<=40%,kvB<=8k,kp=0,-1.3297,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.1567,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1616,1
0,n<=32,sr<=5%,kvB<=8k,kp=0,0.1002,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.1484,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.172,1
0,n<=32,sr<=70%,kvB<=8k,kp=0,-289.8119,1
0,n<=32,sr>70%,kvB<=1k,kp=0,0.5612,2
0,n<=32,sr>70%,kvB<=4k,kp=0,0.416,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.4533,3
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.4295,2
0,n<=8,sr<=15%,kvB<=8k,kp=0,0.2265,1
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.3213,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.2705,2
0,n<=8,sr<=40%,kvB<=8k,kp=0,-0.7573,1
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.0021,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,-0.0102,1
0,n<=8,sr<=70%,kvB<=8k,kp=0,-809.9773,1
0,n<=8,sr>70%,kvB<=1k,kp=0,0.8664,2
0,n<=8,sr>70%,kvB<=4k,kp=0,0.963,2
0,n<=8,sr>70%,kvB<=8k,kp=0,-9.283,1
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0806,2
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0773,2
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0836,2
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0741,2
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.001,2
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0106,2
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0068,2
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0104,2
16,n<=128,sr<=15%,kvB<=8k,kp<=2k,-0.1951,2
16,n<=128,sr<=15%,kvB<=8k,kp<=512,-0.2067,2
16,n<=128,sr<=15%,kvB<=8k,kp<=8k,-0.2332,2
16,n<=128,sr<=15%,kvB<=8k,kp=0,-0.2082,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0949,1
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0826,1
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0892,1
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0841,1
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0116,1
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0057,1
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0053,1
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0046,1
16,n<=128,sr<=40%,kvB<=8k,kp<=2k,-1.6012,1
16,n<=128,sr<=40%,kvB<=8k,kp<=512,-1.6288,1
16,n<=128,sr<=40%,kvB<=8k,kp<=8k,-1.9847,1
16,n<=128,sr<=40%,kvB<=8k,kp=0,-1.5812,1
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0156,4
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0096,4
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0211,4
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0104,4
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0135,4
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0243,4
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0171,4
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0257,4
16,n<=128,sr<=5%,kvB<=8k,kp<=2k,0.0015,4
16,n<=128,sr<=5%,kvB<=8k,kp<=512,-0.0059,4
16,n<=128,sr<=5%,kvB<=8k,kp<=8k,-0.0136,4
16,n<=128,sr<=5%,kvB<=8k,kp=0,-0.006,4
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0458,1
16,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0131,1
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.01,1
16,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0063,1
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0244,1
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0131,1
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0028,1
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0173,1
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.2153,2
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.1751,2
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.2005,2
16,n<=128,sr>70%,kvB<=1k,kp=0,0.1956,2
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.0578,2
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.0879,2
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.0027,2
16,n<=128,sr>70%,kvB<=4k,kp=0,0.0432,2
16,n<=128,sr>70%,kvB<=8k,kp=0,-321.6813,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,-0.4779,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9934,1
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,-0.0522,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.9932,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.9959,1
16,n<=2,sr<=70%,kvB<=8k,kp=0,-6.5329,1
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.1171,3
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0916,3
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.1193,3
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.1863,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0196,3
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.154,3
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0379,3
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.139,4
16,n<=32,sr<=15%,kvB<=8k,kp<=2k,-0.106,3
16,n<=32,sr<=15%,kvB<=8k,kp<=512,-0.1067,3
16,n<=32,sr<=15%,kvB<=8k,kp<=8k,-0.2909,3
16,n<=32,sr<=15%,kvB<=8k,kp=0,-0.1095,3
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.1679,1
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.0752,1
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.164,1
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.1961,1
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.0073,1
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.1337,1
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.0485,1
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.1263,1
16,n<=32,sr<=40%,kvB<=8k,kp<=2k,-1.3145,1
16,n<=32,sr<=40%,kvB<=8k,kp<=512,-1.2842,1
16,n<=32,sr<=40%,kvB<=8k,kp<=8k,-2.1295,1
16,n<=32,sr<=40%,kvB<=8k,kp=0,-1.316,1
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0754,1
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0031,1
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0775,1
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.1575,1
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0374,1
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.1603,1
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.0712,1
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.1606,1
16,n<=32,sr<=5%,kvB<=8k,kp<=2k,0.1051,1
16,n<=32,sr<=5%,kvB<=8k,kp<=512,0.0997,1
16,n<=32,sr<=5%,kvB<=8k,kp<=8k,-0.1055,1
16,n<=32,sr<=5%,kvB<=8k,kp=0,0.0986,1
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.0709,1
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.0269,1
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.0804,1
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.1582,1
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.0953,1
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.1864,1
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.0769,1
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.1792,1
16,n<=32,sr<=70%,kvB<=8k,kp<=2k,-2326.244,1
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.5426,2
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.5339,2
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.5168,2
16,n<=32,sr>70%,kvB<=1k,kp=0,0.5856,2
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.4418,2
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.4964,2
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.383,2
16,n<=32,sr>70%,kvB<=4k,kp=0,0.4439,2
16,n<=32,sr>70%,kvB<=8k,kp<=2k,-167.6873,1
16,n<=32,sr>70%,kvB<=8k,kp=0,-188.1151,1
16,n<=8,sr<=15%,kvB<=1k,kp<=2k,-0.0163,1
16,n<=8,sr<=15%,kvB<=1k,kp<=512,-0.0102,1
16,n<=8,sr<=15%,kvB<=1k,kp<=8k,-0.015,1
16,n<=8,sr<=15%,kvB<=1k,kp=0,0.4507,4
16,n<=8,sr<=15%,kvB<=4k,kp<=2k,-0.1392,1
16,n<=8,sr<=15%,kvB<=4k,kp<=512,0.4284,1
16,n<=8,sr<=15%,kvB<=4k,kp<=8k,-0.1382,1
16,n<=8,sr<=15%,kvB<=4k,kp=0,0.4278,2
16,n<=8,sr<=15%,kvB<=8k,kp<=2k,0.2383,1
16,n<=8,sr<=15%,kvB<=8k,kp<=512,0.2276,1
16,n<=8,sr<=15%,kvB<=8k,kp<=8k,-0.5896,1
16,n<=8,sr<=15%,kvB<=8k,kp=0,0.2288,1
16,n<=8,sr<=40%,kvB<=1k,kp<=2k,-0.3076,2
16,n<=8,sr<=40%,kvB<=1k,kp<=512,-0.3006,2
16,n<=8,sr<=40%,kvB<=1k,kp<=8k,-0.3336,2
16,n<=8,sr<=40%,kvB<=1k,kp=0,0.3229,2
16,n<=8,sr<=40%,kvB<=4k,kp<=2k,-0.4441,2
16,n<=8,sr<=40%,kvB<=4k,kp<=512,0.2835,2
16,n<=8,sr<=40%,kvB<=4k,kp<=8k,-0.4474,2
16,n<=8,sr<=40%,kvB<=4k,kp=0,0.271,2
16,n<=8,sr<=40%,kvB<=8k,kp<=2k,-0.7563,1
16,n<=8,sr<=40%,kvB<=8k,kp<=512,-0.7703,2
16,n<=8,sr<=40%,kvB<=8k,kp<=8k,-2.9469,1
