prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,15.136
0,0,1,32,15.2327
0,0,1,64,20.843
0,0,1,128,26.8173
0,0,1,256,38.4753
0,0,1,512,61.8463
0,0,1,1024,108.749
0,0,1,2048,202.629
0,0,1,4096,397.673
0,0,1,8192,396.244
0,0,2,16,15.36
0,0,2,32,15.5097
0,0,2,64,21.0037
0,0,2,128,26.9977
0,0,2,256,38.721
0,0,2,512,62.1567
0,0,2,1024,108.962
0,0,2,2048,202.778
0,0,2,4096,398.121
0,0,2,8192,397.759
0,0,4,16,15.4777
0,0,4,32,15.5423
0,0,4,64,21.2277
0,0,4,128,27.222
0,0,4,256,38.966
0,0,4,512,62.401
0,0,4,1024,109.411
0,0,4,2048,203.408
0,0,4,4096,398.366
0,0,4,8192,398.463
0,0,8,16,23.979
0,0,8,32,24.267
0,0,8,64,35.8193
0,0,8,128,47.9903
0,0,8,256,71.564
0,0,8,512,118.723
0,0,8,1024,213.21
0,0,8,2048,400.649
0,0,8,4096,791.805
0,0,8,8192,791.699
0,0,16,16,32.5653
0,0,16,32,32.9823
0,0,16,64,50.1343
0,0,16,128,68.6837
0,0,16,256,103.938
0,0,16,512,174.361
0,0,16,1024,316.061
0,0,16,2048,597.656
0,0,16,4096,1184.12
0,0,16,8192,1183.09
0,0,32,16,57.74
0,0,32,32,58.4653
0,0,32,64,92.5143
0,0,32,128,129.977
0,0,32,256,201.488
0,0,32,512,342.259
0,0,32,1024,623.726
0,0,32,2048,1187.22
0,0,32,4096,2359.65
0,0,32,8192,2360.82
0,0,64,16,107.075
0,0,64,32,108.055
0,0,64,64,180.484
0,0,64,128,255.739
0,0,64,256,404.148
0,0,64,512,700.123
0,0,64,1024,1278.67
0,0,64,2048,2449.59
0,0,64,4096,4900.57
0,0,64,8192,4894.75
0,0,128,16,201.316
0,0,128,32,208.57
0,0,128,64,348.093
0,0,128,128,496.64
0,0,128,256,784.69
0,0,128,512,1358.51
0,0,128,1024,2484.2
0,0,128,2048,4747.97
0,0,128,4096,9502.57
0,0,128,8192,9494.54
0,0,256,16,406.889
0,0,256,32,414.964
0,0,256,64,692.922
0,0,256,128,988.033
0,0,256,256,1553.46
0,0,256,512,2682.51
0,0,256,1024,4915.53
0,0,256,2048,9442.18
0,0,256,4096,18884.4
0,0,256,8192,18863.9
16,0,0,0,15.4243
16,0,1,16,15.3393
16,0,1,32,15.3823
16,0,1,64,19.9153
16,0,1,128,25.8883
16,0,1,256,37.654
16,0,1,512,61.079
16,0,1,1024,107.843
16,0,1,2048,201.85
16,0,1,4096,397.246
16,0,1,8192,396.702
16,0,2,16,15.3173
16,0,2,32,15.382
16,0,2,64,19.9687
16,0,2,128,25.985
16,0,2,256,37.7077
16,0,2,512,61.175
16,0,2,1024,108.152
16,0,2,2048,202.084
16,0,2,4096,398.569
16,0,2,8192,398.046
16,0,4,16,15.5203
16,0,4,32,15.6277
16,0,4,64,19.904
16,0,4,128,25.9737
16,0,4,256,37.601
16,0,4,512,61.196
