pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0678,2
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0695,2
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0539,2
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0697,2
16,n<=128,sr<=15%,kvB<=1k,kp<=20k,0.2521,2
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.4556,2
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.1446,2
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.4327,2
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.1329,2
16,n<=128,sr<=15%,kvB<=32k,kp<=20k,0.0758,2
16,n<=128,sr<=15%,kvB<=32k,kp<=2k,0.0757,2
16,n<=128,sr<=15%,kvB<=32k,kp<=512,0.0753,2
16,n<=128,sr<=15%,kvB<=32k,kp<=8k,0.0762,2
16,n<=128,sr<=15%,kvB<=32k,kp=0,0.0748,2
16,n<=128,sr<=15%,kvB<=4k,kp<=20k,0.259,2
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.069,2
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0832,2
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.2711,2
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0811,2
16,n<=128,sr<=40%,kvB<=16k,kp<=20k,0.0561,1
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0007,1
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0018,1
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.2712,1
16,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0004,1
16,n<=128,sr<=40%,kvB<=1k,kp<=20k,0.5328,1
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.4931,1
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.1949,1
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.543,1
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.2008,1
16,n<=128,sr<=40%,kvB<=32k,kp<=20k,-0.0023,1
16,n<=128,sr<=40%,kvB<=32k,kp<=2k,-0.0019,1
16,n<=128,sr<=40%,kvB<=32k,kp<=512,-0.0008,1
16,n<=128,sr<=40%,kvB<=32k,kp<=8k,-0.0023,1
16,n<=128,sr<=40%,kvB<=32k,kp=0,-0.004,1
16,n<=128,sr<=40%,kvB<=4k,kp<=20k,0.1581,1
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0119,1
16,n<=128,sr<=40%,kvB<=4k,kp<=512,0.0039,1
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.1569,1
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0058,1
16,n<=128,sr<=5%,kvB<=16k,kp<=20k,-0.0082,4
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0787,4
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0646,4
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0416,4
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0596,4
16,n<=128,sr<=5%,kvB<=1k,kp<=20k,-0.0001,4
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,-0.0105,4
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0202,4
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,-0.0301,4
16,n<=128,sr<=5%,kvB<=1k,kp=0,-0.0071,4
16,n<=128,sr<=5%,kvB<=32k,kp<=20k,0.1021,4
16,n<=128,sr<=5%,kvB<=32k,kp<=2k,0.0673,4
16,n<=128,sr<=5%,kvB<=32k,kp<=512,0.0639,4
16,n<=128,sr<=5%,kvB<=32k,kp<=8k,0.0831,4
