regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,1196.605,1195.579,1195.612,
mixed,2,1,0.5,4.0,256,8192,8192,32768,20480,2918.434,4648.908,4651.98,1.0018
mixed,2,1,0.5,4.0,256,20480,128,512,320,2923.076,2923.299,2923.462,1.7309
mixed,2,1,0.5,4.0,256,20480,512,2048,1280,2923.875,2923.363,2923.491,
mixed,2,1,0.5,4.0,256,20480,2048,8192,5120,2923.139,2921.828,2922.148,
mixed,2,1,0.5,4.0,256,20480,8192,32768,20480,2921.923,4656.906,4656.939,1.0
mixed,2,1,0.5,4.0,1024,0,128,512,320,172.644,172.388,172.548,
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,226.981,334.215,332.199,0.9812
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,766.897,1197.052,1190.653,0.9851
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,2920.772,4638.731,4635.369,0.998
mixed,2,1,0.5,4.0,1024,512,128,512,320,243.174,243.205,243.109,-2.0968
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,243.429,334.92,332.679,0.9755
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,765.777,1199.131,1190.236,0.9795
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,2922.083,4642.669,4642.54,0.9999
mixed,2,1,0.5,4.0,1024,2048,128,512,320,453.772,453.29,453.705,
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,453.931,454.154,453.802,-0.5785
mixed,2,1,0.5,4.0,1024,2048,2048,8192,5120,767.121,1195.132,1191.804,0.9922
mixed,2,1,0.5,4.0,1024,2048,8192,32768,20480,2918.433,4638.667,4639.435,1.0004
mixed,2,1,0.5,4.0,1024,8192,128,512,320,1296.832,1296.797,1299.037,
mixed,2,1,0.5,4.0,1024,8192,512,2048,1280,1295.613,1297.566,1298.269,1.36
mixed,2,1,0.5,4.0,1024,8192,2048,8192,5120,1298.206,1297.918,1299.07,
mixed,2,1,0.5,4.0,1024,8192,8192,32768,20480,2921.189,4643.242,4636.745,0.9962
mixed,2,1,0.5,4.0,1024,20480,128,512,320,2986.627,2993.027,2989.414,0.4355
mixed,2,1,0.5,4.0,1024,20480,512,2048,1280,2987.589,2988.933,2988.611,0.7604
mixed,2,1,0.5,4.0,1024,20480,2048,8192,5120,2989.317,2989.637,2990.853,4.8
mixed,2,1,0.5,4.0,1024,20480,8192,32768,20480,2989.444,4644.81,4626.763,0.9891
mixed,2,1,0.5,4.0,4096,0,128,512,320,971.958,971.668,973.911,
mixed,2,1,0.5,4.0,4096,0,512,2048,1280,969.142,970.262,970.298,1.0321
mixed,2,1,0.5,4.0,4096,0,2048,8192,5120,1190.235,1615.43,1577.572,0.911
mixed,2,1,0.5,4.0,4096,0,8192,32768,20480,3309.869,4988.787,4968.658,0.988
mixed,2,1,0.5,4.0,4096,512,128,512,320,1138.78,1139.034,1138.618,-0.6378
mixed,2,1,0.5,4.0,4096,512,512,2048,1280,1138.65,1139.771,1141.02,2.1142
mixed,2,1,0.5,4.0,4096,512,2048,8192,5120,1302.11,1727.431,1689.32,0.9104
mixed,2,1,0.5,4.0,4096,512,8192,32768,20480,3448.176,5166.934,5081.72,0.9504
mixed,2,1,0.5,4.0,4096,2048,128,512,320,1625.574,1625.06,1624.135,
mixed,2,1,0.5,4.0,4096,2048,512,2048,1280,1624.931,1626.341,1626.885,1.3858
mixed,2,1,0.5,4.0,4096,2048,2048,8192,5120,1646.726,2025.455,1977.647,0.8738
mixed,2,1,0.5,4.0,4096,2048,8192,32768,20480,3750.361,5475.615,5409.401,0.9616
mixed,2,1,0.5,4.0,4096,8192,128,512,320,3354.286,3357.934,3355.596,0.3591
mixed,2,1,0.5,4.0,4096,8192,512,2048,1280,3356.717,3357.005,3357.869,4.0
mixed,2,1,0.5,4.0,4096,8192,2048,8192,5120,3369.392,3369.997,3365.615,-6.243
mixed,2,1,0.5,4.0,4096,8192,8192,32768,20480,4692.044,6404.596,6346.991,0.9664
mixed,2,1,0.5,4.0,4096,20480,128,512,320,6715.451,6716.732,6714.171,-0.9992
mixed,2,1,0.5,4.0,4096,20480,512,2048,1280,6716.535,6714.718,6715.419,
mixed,2,1,0.5,4.0,4096,20480,2048,8192,5120,6726.072,6720.951,6722.399,
mixed,2,1,0.5,4.0,4096,20480,8192,32768,20480,6720.41,8113.496,8049.94,0.9544
mixed,2,1,0.5,4.0,16384,0,128,512,320,9893.156,9885.692,9884.229,
mixed,2,1,0.5,4.0,16384,0,512,2048,1280,9878.367,9887.52,9888.868,1.1473
mixed,2,1,0.5,4.0,16384,0,2048,8192,5120,9919.776,9905.373,9911.336,
mixed,2,1,0.5,4.0,16384,0,8192,32768,20480,10859.894,12641.853,12451.58,0.8932
mixed,2,1,0.5,4.0,16384,512,128,512,320,10432.59,10435.79,10430.99,-0.5
mixed,2,1,0.5,4.0,16384,512,512,2048,1280,10462.895,10464.46,10460.497,-1.5323
mixed,2,1,0.5,4.0,16384,512,2048,8192,5120,10497.163,10503.888,10512.721,2.3135
mixed,2,1,0.5,4.0,16384,512,8192,32768,20480,11331.741,13096.23,12906.472,0.8925
mixed,2,1,0.5,4.0,16384,2048,128,512,320,12170.099,12156.824,12147.09,
mixed,2,1,0.5,4.0,16384,2048,512,2048,1280,12160.212,12161.304,12145.619,-13.3636
mixed,2,1,0.5,4.0,16384,2048,2048,8192,5120,12194.579,12197.944,12171.968,-6.7195
mixed,2,1,0.5,4.0,16384,2048,8192,32768,20480,12797.444,14566.375,14373.101,0.8907
mixed,2,1,0.5,4.0,16384,8192,128,512,320,18872.716,18870.644,18853.541,
mixed,2,1,0.5,4.0,16384,8192,512,2048,1280,18860.278,18847.534,18868.432,
mixed,2,1,0.5,4.0,16384,8192,2048,8192,5120,18842.985,18940.182,18894.861,0.5337
mixed,2,1,0.5,4.0,16384,8192,8192,32768,20480,18981.514,20678.512,20426.647,0.8516
mixed,2,1,0.5,4.0,16384,20480,128,512,320,32308.286,32313.945,32313.505,0.9222
mixed,2,1,0.5,4.0,16384,20480,512,2048,1280,32318.493,32298.207,32310.871,
mixed,2,1,0.5,4.0,16384,20480,2048,8192,5120,32298.384,32426.687,32396.93,0.7681
mixed,2,1,0.5,4.0,16384,20480,8192,32768,20480,32431.776,32477.346,32458.408,0.5844
mixed,2,1,0.5,4.0,32768,0,128,512,320,36565.477,36610.015,36615.135,1.115
mixed,2,1,0.5,4.0,32768,0,512,2048,1280,34804.134,31903.051,31865.771,
mixed,2,1,0.5,4.0,32768,0,2048,8192,5120,31920.847,31913.21,31917.85,
mixed,2,1,0.5,4.0,32768,0,8192,32768,20480,31985.404,32559.206,32185.655,0.349
mixed,2,1,0.5,4.0,32768,512,128,512,320,32859.761,32841.709,32876.843,
mixed,2,1,0.5,4.0,32768,512,512,2048,1280,32839.655,32825.803,32863.846,
mixed,2,1,0.5,4.0,32768,512,2048,8192,5120,32831.756,32904.078,32879.732,0.6634
mixed,2,1,0.5,4.0,32768,512,8192,32768,20480,32932.334,33395.923,33103.417,0.369
mixed,2,1,0.5,4.0,32768,2048,128,512,320,35752.332,35710.666,35766.358,
mixed,2,1,0.5,4.0,32768,2048,512,2048,1280,35743.689,35709.432,35737.649,
mixed,2,1,0.5,4.0,32768,2048,2048,8192,5120,35737.135,35734.733,35729.132,
mixed,2,1,0.5,4.0,32768,2048,8192,32768,20480,35740.34,36087.384,35778.352,0.1095
pure,8,1,0.125,4.0,0,0,128,512,176,49.89,54.561,52.097,0.4725
pure,8,1,0.125,4.0,0,0,512,2048,704,57.123,99.619,75.362,0.4292
pure,8,1,0.125,4.0,0,0,2048,8192,2816,134.626,236.869,139.62,0.0488
pure,8,1,0.125,4.0,0,0,8192,32768,11264,331.815,750.546,401.768,0.1671
mixed,8,1,0.125,4.0,16,0,128,512,176,57.185,108.9,108.353,0.9894
mixed,8,1,0.125,4.0,16,0,512,2048,704,129.155,326.663,323.913,0.9861
mixed,8,1,0.125,4.0,16,0,2048,8192,2816,434.569,1192.667,1182.811,0.987
mixed,8,1,0.125,4.0,16,0,8192,32768,11264,1623.173,4644.363,4633.673,0.9965
mixed,8,1,0.125,4.0,16,512,128,512,176,109.314,109.955,109.731,0.6505
mixed,8,1,0.125,4.0,16,512,512,2048,704,129.315,326.631,324.266,0.988
mixed,8,1,0.125,4.0,16,512,2048,8192,2816,435.209,1192.762,1184.537,0.9891
mixed,8,1,0.125,4.0,16,512,8192,32768,11264,1623.11,4645.899,4637.609,0.9973
mixed,8,1,0.125,4.0,16,2048,128,512,176,325.736,326.92,326.375,0.5397
mixed,8,1,0.125,4.0,16,2048,512,2048,704,326.599,327.655,327.559,0.9091
mixed,8,1,0.125,4.0,16,2048,2048,8192,2816,435.049,1191.997,1184.347,0.9899
mixed,8,1,0.125,4.0,16,2048,8192,32768,11264,1622.661,4646.344,4642.569,0.9988
mixed,8,1,0.125,4.0,16,8192,128,512,176,1192.123,1192.507,1192.155,0.0833
mixed,8,1,0.125,4.0,16,8192,512,2048,704,1192.09,1193.467,1193.146,0.7669
mixed,8,1,0.125,4.0,16,8192,2048,8192,2816,1193.914,1193.915,1193.435,-479.0
mixed,8,1,0.125,4.0,16,8192,8192,32768,11264,1623.461,4646.695,4635.656,0.9963
mixed,8,1,0.125,4.0,16,20480,128,512,176,2919.298,2920.13,2919.555,0.3089
mixed,8,1,0.125,4.0,16,20480,512,2048,704,2919.971,2920.867,2920.098,0.1417
mixed,8,1,0.125,4.0,16,20480,2048,8192,2816,2920.58,2921.698,2920.578,-0.0018
mixed,8,1,0.125,4.0,16,20480,8192,32768,11264,2921.09,4646.537,4635.273,0.9935
mixed,8,1,0.125,4.0,64,0,128,512,176,57.537,109.603,108.578,0.9803
mixed,8,1,0.125,4.0,64,0,512,2048,704,129.602,327.783,324.166,0.9817
mixed,8,1,0.125,4.0,64,0,2048,8192,2816,435.337,1192.57,1183.962,0.9886
mixed,8,1,0.125,4.0,64,0,8192,32768,11264,1623.556,4648.361,4643.433,0.9984
mixed,8,1,0.125,4.0,64,512,128,512,176,111.748,111.746,111.49,
mixed,8,1,0.125,4.0,64,512,512,2048,704,129.731,327.271,324.583,0.9864
mixed,8,1,0.125,4.0,64,512,2048,8192,2816,435.689,1192.987,1185.82,0.9905
mixed,8,1,0.125,4.0,64,512,8192,32768,11264,1624.04,4645.96,4643.049,0.999
mixed,8,1,0.125,4.0,64,2048,128,512,176,328.392,328.423,328.105,-9.2581
mixed,8,1,0.125,4.0,64,2048,512,2048,704,329.448,329.607,328.425,-6.434
mixed,8,1,0.125,4.0,64,2048,2048,8192,2816,435.466,1192.763,1185.787,0.9908
mixed,8,1,0.125,4.0,64,2048,8192,32768,11264,1622.63,4646.249,4643.239,0.999
mixed,8,1,0.125,4.0,64,8192,128,512,176,1193.179,1193.276,1192.859,-3.299
mixed,8,1,0.125,4.0,64,8192,512,2048,704,1192.859,1192.828,1192.314,
mixed,8,1,0.125,4.0,64,8192,2048,8192,2816,1193.146,1194.78,1194.843,1.0386
mixed,8,1,0.125,4.0,64,8192,8192,32768,11264,1623.843,4646.667,4644.33,0.9992
mixed,8,1,0.125,4.0,64,20480,128,512,176,2921.698,2921.249,2922.21,
mixed,8,1,0.125,4.0,64,20480,512,2048,704,2923.427,2922.209,2921.091,
mixed,8,1,0.125,4.0,64,20480,2048,8192,2816,2921.568,2923.456,2921.826,0.1367
mixed,8,1,0.125,4.0,64,20480,8192,32768,11264,2921.986,4646.727,4643.017,0.9978
mixed,8,1,0.125,4.0,256,0,128,512,176,62.369,114.275,111.204,0.9408
mixed,8,1,0.125,4.0,256,0,512,2048,704,133.986,331.431,327.431,0.9797
mixed,8,1,0.125,4.0,256,0,2048,8192,2816,440.01,1196.411,1188.506,0.9895
mixed,8,1,0.125,4.0,256,0,8192,32768,11264,1627.876,4649.8,4646.952,0.9991
mixed,8,1,0.125,4.0,256,512,128,512,176,131.812,133.059,131.907,0.0762
mixed,8,1,0.125,4.0,256,512,512,2048,704,133.924,331.272,327.655,0.9817
mixed,8,1,0.125,4.0,256,512,2048,8192,2816,440.362,1196.412,1187.676,0.9884
mixed,8,1,0.125,4.0,256,512,8192,32768,11264,1628.9,4653.512,4643.752,0.9968
mixed,8,1,0.125,4.0,256,2048,128,512,176,343.048,343.336,343.303,0.8854
mixed,8,1,0.125,4.0,256,2048,512,2048,704,343.175,345.225,343.592,0.2034
mixed,8,1,0.125,4.0,256,2048,2048,8192,2816,439.881,1196.283,1187.45,0.9883
mixed,8,1,0.125,4.0,256,2048,8192,32768,11264,1626.18,4646.056,4643.848,0.9993
mixed,8,1,0.125,4.0,256,8192,128,512,176,1200.056,1200.379,1199.676,-1.1765
mixed,8,1,0.125,4.0,256,8192,512,2048,704,1199.77,1199.898,1199.771,0.0078
mixed,8,1,0.125,4.0,256,8192,2048,8192,2816,1200.251,1199.707,1201.787,
mixed,8,1,0.125,4.0,256,8192,8192,32768,11264,1625.541,4650.568,4642.12,0.9972
mixed,8,1,0.125,4.0,256,20480,128,512,176,2930.115,2928.77,2929.602,
mixed,8,1,0.125,4.0,256,20480,512,2048,704,2929.188,2930.367,2928.706,-0.4088
mixed,8,1,0.125,4.0,256,20480,2048,8192,2816,2930.048,2931.043,2929.952,-0.0965
mixed,8,1,0.125,4.0,256,20480,8192,32768,11264,2928.321,4650.695,4645.254,0.9968
mixed,8,1,0.125,4.0,1024,0,128,512,176,178.019,178.149,177.797,-1.7077
mixed,8,1,0.125,4.0,1024,0,512,2048,704,177.797,340.198,335.848,0.9732
mixed,8,1,0.125,4.0,1024,0,2048,8192,2816,448.073,1203.899,1196.028,0.9896
mixed,8,1,0.125,4.0,1024,0,8192,32768,11264,1635.684,4654.247,4641.098,0.9956
mixed,8,1,0.125,4.0,1024,512,128,512,176,247.589,247.909,248.102,1.6031
mixed,8,1,0.125,4.0,1024,512,512,2048,704,248.486,340.296,335.049,0.9428
mixed,8,1,0.125,4.0,1024,512,2048,8192,2816,448.139,1203.356,1193.691,0.9872
mixed,8,1,0.125,4.0,1024,512,8192,32768,11264,1635.27,4654.217,4639.399,0.9951
mixed,8,1,0.125,4.0,1024,2048,128,512,176,459.37,459.338,459.466,
mixed,8,1,0.125,4.0,1024,2048,512,2048,704,460.138,459.85,459.371,
