layer,tokens,time_us
act_fn,1,1.82433
act_fn,2,2.10133
act_fn,3,2.13333
act_fn,4,2.144
act_fn,5,2.15467
act_fn,6,2.16533
act_fn,7,2.144
act_fn,8,2.13333
act_fn,9,2.144
act_fn,10,2.144
act_fn,11,2.14433
act_fn,12,2.112
act_fn,13,2.13333
act_fn,14,2.144
act_fn,15,2.15467
act_fn,16,2.144
act_fn,20,2.13333
act_fn,24,2.16533
act_fn,28,2.16533
act_fn,32,2.16533
act_fn,36,2.176
act_fn,40,2.19733
act_fn,44,2.18667
act_fn,48,2.21867
act_fn,52,2.208
act_fn,56,2.24
act_fn,60,2.26133
act_fn,64,2.49633
act_fn,80,2.51733
act_fn,96,2.528
act_fn,112,2.4
act_fn,128,2.464
act_fn,144,2.528
act_fn,160,2.58133
act_fn,176,2.74133
act_fn,192,2.784
act_fn,208,2.85867
act_fn,224,2.752
act_fn,240,2.79467
act_fn,256,2.77333
act_fn,272,2.816
act_fn,288,2.88
act_fn,304,2.912
act_fn,320,2.95467
act_fn,336,2.96533
act_fn,352,3.05067
act_fn,368,3.072
act_fn,384,3.12533
act_fn,400,3.136
act_fn,416,3.15733
act_fn,432,3.28533
act_fn,448,3.328
act_fn,464,3.31733
act_fn,480,3.31733
act_fn,496,3.36
act_fn,512,3.34933
act_fn,528,3.38167
act_fn,544,3.38167
act_fn,560,3.44567
act_fn,576,3.488
act_fn,592,3.49867
act_fn,608,3.54133
act_fn,624,3.54133
act_fn,640,3.70133
act_fn,656,3.808
act_fn,672,3.79733
act_fn,688,3.82933
act_fn,704,3.872
act_fn,720,3.82933
act_fn,736,3.872
act_fn,752,3.87233
act_fn,768,3.91467
act_fn,784,3.96833
act_fn,800,4.01067
act_fn,816,3.95733
act_fn,832,4.09633
act_fn,848,5.63267
act_fn,864,5.67467
act_fn,880,5.70667
act_fn,896,5.65333
act_fn,912,5.68567
act_fn,928,5.69633
act_fn,944,5.58933
act_fn,960,5.64267
act_fn,976,4.384
act_fn,992,4.51233
act_fn,1008,4.51233
act_fn,1024,4.55467
act_fn,1040,4.46933
act_fn,1056,4.51233
act_fn,1072,4.56533
act_fn,1088,4.61867
act_fn,1104,4.60833
act_fn,1120,4.59733
act_fn,1136,4.61867
act_fn,1152,4.68267
act_fn,1168,6.368
act_fn,1184,6.42167
act_fn,1200,6.67767
act_fn,1216,6.80533
act_fn,1232,6.90167
act_fn,1248,6.827
act_fn,1264,6.88067
act_fn,1280,7.06167
act_fn,1296,6.80567
act_fn,1312,6.848
act_fn,1328,6.976
act_fn,1344,7.15767
act_fn,1360,6.99767
act_fn,1376,7.17867
act_fn,1392,7.14667
act_fn,1408,7.264
act_fn,1424,8.33067
act_fn,1440,8.576
act_fn,1456,8.73633
act_fn,1472,9.19533
act_fn,1488,9.355
act_fn,1504,9.41933
act_fn,1520,9.52567
act_fn,1536,9.54667
act_fn,1552,9.23733
act_fn,1568,9.227
act_fn,1584,9.344
act_fn,1600,9.40867
act_fn,1616,9.42967
act_fn,1632,9.42967
act_fn,1648,9.536
act_fn,1664,9.68533
act_fn,1680,9.824
act_fn,1696,9.79233
act_fn,1712,9.718
act_fn,1728,9.94133
act_fn,1744,10.0807
act_fn,1760,10.283
act_fn,1776,10.4107
act_fn,1792,10.6137
act_fn,1808,10.6667
act_fn,1824,10.7843
act_fn,1840,10.8697
act_fn,1856,10.9763
act_fn,1872,11.062
act_fn,1888,11.115
act_fn,1904,11.2433
act_fn,1920,11.211
act_fn,1936,11.2323
act_fn,1952,11.2217
act_fn,1968,11.627
act_fn,1984,11.68
act_fn,2000,11.776
act_fn,2016,11.7013
act_fn,2032,12.0427
act_fn,2048,12.1173
act_fn,2064,12.0537
act_fn,2080,12.2773
act_fn,2096,12.395
act_fn,2112,12.6507
act_fn,2128,13.1203
act_fn,2144,13.43
act_fn,2160,13.6213
act_fn,2176,13.5043
act_fn,2192,14.091
act_fn,2208,14.3367
act_fn,2224,14.3577
act_fn,2240,14.4967
act_fn,2256,14.8693
act_fn,2272,14.742
act_fn,2288,15.158
act_fn,2304,15.211
act_fn,2320,15.798
act_fn,2336,15.9363
act_fn,2352,15.606
act_fn,2368,16.2783
act_fn,2384,16.3523
act_fn,2400,16.2777
act_fn,2416,16.5657
act_fn,2432,16.8213
act_fn,2448,17.1947
act_fn,2464,16.9183
act_fn,2480,16.96
act_fn,2496,17.27
act_fn,2512,17.3443
act_fn,2528,17.409
act_fn,2544,17.6537
act_fn,2560,17.846
act_fn,2576,17.7713
act_fn,2592,17.8883
act_fn,2608,18.1657
act_fn,2624,18.3147
act_fn,2640,18.4963
act_fn,2656,18.6457
act_fn,2672,18.9333
act_fn,2688,19.1477
act_fn,2704,19.1157
act_fn,2720,19.051
act_fn,2736,19.2117
act_fn,2752,19.489
act_fn,2768,19.531
act_fn,2784,19.8833
act_fn,2800,19.8943
act_fn,2816,20.1393
act_fn,2832,19.6593
act_fn,2848,19.6063
act_fn,2864,19.9253
act_fn,2880,19.979
act_fn,2896,20.256
act_fn,2912,20.0643
act_fn,2928,20.5547
act_fn,2944,20.3847
act_fn,2960,18.3047
act_fn,2976,18.561
act_fn,2992,18.6353
act_fn,3008,18.784
act_fn,3024,18.9017
act_fn,3040,19.0623
act_fn,3056,19.0623
act_fn,3072,19.35
act_fn,3088,19.5527
act_fn,3104,19.6593
act_fn,3120,19.819
act_fn,3136,19.9897
act_fn,3152,20.278
act_fn,3168,20.4273
act_fn,3184,20.7263
act_fn,3200,20.7793
act_fn,3216,20.9077
act_fn,3232,21.121
act_fn,3248,21.4193
act_fn,3264,21.6003
act_fn,3280,21.6217
act_fn,3296,22.0053
act_fn,3312,21.974
act_fn,3328,22.3263
act_fn,3344,22.5287
act_fn,3360,22.614
act_fn,3376,22.9553
act_fn,3392,23.19
act_fn,3408,23.147
act_fn,3424,23.7553
act_fn,3440,23.8083
act_fn,3456,23.8623
act_fn,3472,24.225
act_fn,3488,24.5553
act_fn,3504,24.5443
act_fn,3520,24.8217
act_fn,3536,25.0247
act_fn,3552,25.2167
act_fn,3568,25.3763
act_fn,3584,25.7073
act_fn,3600,25.8463
act_fn,3616,25.942
act_fn,3632,26.006
act_fn,3648,26.2623
act_fn,3664,26.4853
act_fn,3680,26.518
act_fn,3696,26.71
act_fn,3712,27.0083
act_fn,3728,27.0403
act_fn,3744,27.2213
act_fn,3760,27.4033
act_fn,3776,27.7767
act_fn,3792,27.7553
act_fn,3808,27.8087
act_fn,3824,27.734
act_fn,3840,28.097
act_fn,3856,28.2137
act_fn,3872,25.27
act_fn,3888,25.3447
act_fn,3904,25.718
act_fn,3920,25.7077
act_fn,3936,25.9417
act_fn,3952,26.2617
act_fn,3968,26.241
act_fn,3984,26.6567
act_fn,4000,26.9447
act_fn,4016,26.9657
act_fn,4032,27.062
act_fn,4048,27.5103
act_fn,4064,27.5313
act_fn,4080,27.713
act_fn,4096,27.563
act_fn,4112,28.0543
act_fn,4128,28.4597
act_fn,4144,28.481
act_fn,4160,28.6193
act_fn,4176,28.758
act_fn,4192,29.0887
act_fn,4208,29.2277
act_fn,4224,29.2487
act_fn,4240,29.6117
act_fn,4256,29.697
act_fn,4272,30.017
act_fn,4288,30.262
act_fn,4304,30.2513
act_fn,4320,30.518
act_fn,4336,30.6993
act_fn,4352,31.105
act_fn,4368,28.7367
act_fn,4384,28.854
act_fn,4400,28.8327
act_fn,4416,28.9713
act_fn,4432,29.0993
act_fn,4448,29.0993
act_fn,4464,29.185
act_fn,4480,29.4833
act_fn,4496,29.1847
act_fn,4512,29.2487
act_fn,4528,29.281
act_fn,4544,29.792
act_fn,4560,29.8677
act_fn,4576,30.0487
act_fn,4592,30.1237
act_fn,4608,30.433
act_fn,4624,30.4863
act_fn,4640,30.614
act_fn,4656,30.8597
act_fn,4672,30.934
act_fn,4688,31.19
act_fn,4704,31.1903
act_fn,4720,31.425
act_fn,4736,31.595
act_fn,4752,31.7237
act_fn,4768,32.1503
act_fn,4784,32.2133
act_fn,4800,32.417
act_fn,4816,32.5877
act_fn,4832,32.9397
act_fn,4848,33.1317
act_fn,4864,33.2917
act_fn,4880,33.5153
act_fn,4896,33.5157
act_fn,4912,33.7713
act_fn,4928,33.761
act_fn,4944,33.921
act_fn,4960,34.337
act_fn,4976,34.4863
act_fn,4992,34.8063
act_fn,5008,34.753
act_fn,5024,34.9657
act_fn,5040,35.1047
act_fn,5056,35.1903
act_fn,5072,35.5103
act_fn,5088,35.713
act_fn,5104,35.7877
act_fn,5120,35.9263
act_fn,5136,33.4943
act_fn,5152,35.2757
act_fn,5168,35.1263
act_fn,5184,35.6063
act_fn,5200,35.8517
act_fn,5216,35.5427
act_fn,5232,35.7667
act_fn,5248,35.7983
act_fn,5264,36.0433
act_fn,5280,36.4593
act_fn,5296,36.4063
act_fn,5312,36.6517
act_fn,5328,36.8113
act_fn,5344,36.7053
act_fn,5360,37.238
act_fn,5376,37.3127
act_fn,5392,37.8567
act_fn,5408,38.1237
act_fn,5424,38.1663
act_fn,5440,38.3477
act_fn,5456,38.7317
act_fn,5472,38.6357
act_fn,5488,38.9663
act_fn,5504,39.0517
act_fn,5520,39.0837
act_fn,5536,39.265
act_fn,5552,39.51
act_fn,5568,39.5957
act_fn,5584,39.7127
act_fn,5600,39.5737
act_fn,5616,39.905
act_fn,5632,40.0013
act_fn,5648,40.0647
act_fn,5664,40.193
act_fn,5680,40.225
act_fn,5696,40.257
act_fn,5712,40.428
act_fn,5728,40.5983
act_fn,5744,40.6517
act_fn,5760,40.801
act_fn,5776,39.5213
act_fn,5792,39.5637
act_fn,5808,39.9583
act_fn,5824,39.745
act_fn,5840,39.7553
act_fn,5856,39.8837
act_fn,5872,40.0763
act_fn,5888,40.1507
act_fn,5904,39.8303
act_fn,5920,40.022
act_fn,5936,40.1077
act_fn,5952,40.1613
act_fn,5968,40.374
act_fn,5984,40.4703
act_fn,6000,40.5663
act_fn,6016,40.7477
act_fn,6032,41.4727
act_fn,6048,41.6967
act_fn,6064,41.8677
act_fn,6080,41.9423
act_fn,6096,42.1237
act_fn,6112,42.3477
act_fn,6128,42.497
act_fn,6144,42.8167
act_fn,6160,43.532
act_fn,6176,43.415
act_fn,6192,43.3823
act_fn,6208,43.4673
act_fn,6224,43.724
act_fn,6240,43.8517
act_fn,6256,44.4597
act_fn,6272,44.4283
act_fn,6288,44.225
act_fn,6304,44.3317
act_fn,6320,44.6197
act_fn,6336,44.6623
act_fn,6352,44.7797
act_fn,6368,44.9613
act_fn,6384,44.8543
act_fn,6400,45.025
act_fn,6416,44.9717
act_fn,6432,45.612
act_fn,6448,45.2597
act_fn,6464,45.4627
act_fn,6480,45.4307
act_fn,6496,45.7183
act_fn,6512,45.8993
act_fn,6528,46.0063
act_fn,6544,44.705
act_fn,6560,44.7273
act_fn,6576,44.6197
act_fn,6592,44.897
act_fn,6608,45.078
act_fn,6624,45.2273
act_fn,6640,45.1853
act_fn,6656,45.42
act_fn,6672,45.26
act_fn,6688,45.7397
act_fn,6704,45.8463
act_fn,6720,46.0703
act_fn,6736,46.0703
act_fn,6752,46.0173
act_fn,6768,46.4013
act_fn,6784,46.625
act_fn,6800,46.966
act_fn,6816,47.062
act_fn,6832,47.1473
act_fn,6848,47.4357
act_fn,6864,47.788
act_fn,6880,47.7987
act_fn,6896,48.0763
act_fn,6912,48.5023
act_fn,6928,48.5993
act_fn,6944,48.705
act_fn,6960,48.833
act_fn,6976,48.8437
act_fn,6992,48.908
act_fn,7008,49.1963
act_fn,7024,49.142
act_fn,7040,49.516
act_fn,7056,49.58
act_fn,7072,49.6547
act_fn,7088,49.527
act_fn,7104,49.9743
act_fn,7120,49.761
act_fn,7136,50.0597
act_fn,7152,50.3377
act_fn,7168,50.2733
act_fn,7184,49.7183
act_fn,7200,50.3157
act_fn,7216,49.9533
act_fn,7232,50.1347
