prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,13.7923
0,0,1,32,13.814
0,0,1,64,13.867
0,0,1,128,18.88
0,0,1,256,19.0403
0,0,1,512,19.4777
0,0,1,1024,20.1497
0,0,1,2048,21.6007
0,0,1,4096,24.9173
0,0,1,8192,31.4143
0,0,1,16384,38.5073
0,0,1,32768,68.023
0,0,2,16,13.7817
0,0,2,32,13.7817
0,0,2,64,13.8993
0,0,2,128,18.806
0,0,2,256,19.0937
0,0,2,512,19.5847
0,0,2,1024,20.3953
0,0,2,2048,22.5493
0,0,2,4096,27.1903
0,0,2,8192,43.3297
0,0,2,16384,65.6767
0,0,2,32768,91.245
0,0,4,16,13.824
0,0,4,32,13.856
0,0,4,64,13.92
0,0,4,128,18.8057
0,0,4,256,19.126
0,0,4,512,19.691
0,0,4,1024,21.2063
0,0,4,2048,24.9713
0,0,4,4096,38.5503
0,0,4,8192,57.324
0,0,4,16384,83.1803
0,0,4,32768,141.785
0,0,8,16,13.8773
0,0,8,32,13.9313
0,0,8,64,13.995
0,0,8,128,18.9977
0,0,8,256,19.4773
0,0,8,512,20.768
0,0,8,1024,28.0437
0,0,8,2048,36.6513
0,0,8,4096,52.769
0,0,8,8192,79.2553
0,0,8,16384,138.265
0,0,8,32768,250.683
0,0,16,16,13.8033
0,0,16,32,13.8453
0,0,16,64,14.038
0,0,16,128,19.158
0,0,16,256,20.5237
0,0,16,512,27.681
0,0,16,1024,35.4783
0,0,16,2048,57.505
0,0,16,4096,84.353
0,0,16,8192,137.123
0,0,16,16384,237.468
0,0,16,32768,437.525
0,0,32,16,13.974
0,0,32,32,14.2403
0,0,32,64,14.688
0,0,32,128,20.438
0,0,32,256,28.363
0,0,32,512,40.5123
0,0,32,1024,56.0337
0,0,32,2048,84.311
0,0,32,4096,134.723
0,0,32,8192,235.665
0,0,32,16384,437.919
0,0,32,32768,839.049
0,0,64,16,14.1767
0,0,64,32,14.848
0,0,64,64,15.531
0,0,64,128,29.697
0,0,64,256,41.9637
0,0,64,512,55.6817
0,0,64,1024,82.2953
0,0,64,2048,132.397
0,0,64,4096,233.851
0,0,64,8192,437.151
0,0,64,16384,843.924
0,0,64,32768,1653.26
0,0,128,16,22.5603
0,0,128,32,23.5523
0,0,128,64,25.558
0,0,128,128,36.3743
0,0,128,256,50.3053
0,0,128,512,76.2043
0,0,128,1024,126.232
0,0,128,2048,226.714
0,0,128,4096,427.231
0,0,128,8192,828.883
0,0,128,16384,1636.45
0,0,128,32768,3227.75
0,0,256,16,40.0117
0,0,256,32,41.0357
0,0,256,64,43.628
0,0,256,128,64.823
0,0,256,256,91.693
0,0,256,512,143.033
0,0,256,1024,243.089
0,0,256,2048,445.322
0,0,256,4096,850.643
0,0,256,8192,1665.06
0,0,256,16384,3283.15
0,0,256,32768,6475.7
16,0,0,0,13.9843
16,0,1,16,14.0273
16,0,1,32,13.9843
16,0,1,64,14.0373
16,0,1,128,18.9657
16,0,1,256,24.7583
16,0,1,512,36.2887
16,0,1,1024,59.7667
16,0,1,2048,106.776
16,0,1,4096,200.751
16,0,1,8192,391.358
16,0,1,16384,776.071
16,0,1,32768,1544.79
16,0,2,16,13.984
16,0,2,32,14.0483
16,0,2,64,14.1333
16,0,2,128,18.9443
16,0,2,256,24.7793
16,0,2,512,36.5237
16,0,2,1024,60.567
16,0,2,2048,108.93
16,0,2,4096,205.359
16,0,2,8192,397.534
16,0,2,16384,781.778
16,0,2,32768,1549.65
16,0,4,16,13.8773
16,0,4,32,13.8457
16,0,4,64,13.8243
16,0,4,128,18.6783
16,0,4,256,24.566
16,0,4,512,36.3527
16,0,4,1024,60.3533
16,0,4,2048,108.707
16,0,4,4096,204.922
16,0,4,8192,396.799
16,0,4,16384,780.413
16,0,4,32768,1548.86
16,0,8,16,13.718
16,0,8,32,13.7603
16,0,8,64,13.942
16,0,8,128,18.71
16,0,8,256,24.502
16,0,8,512,36.31
16,0,8,1024,60.6197
16,0,8,2048,109.144
16,0,8,4096,205.285
16,0,8,8192,397.331
16,0,8,16384,781.255
16,0,8,32768,1548.74
16,0,16,16,13.8137
16,0,16,32,13.8773
16,0,16,64,14.0803
16,0,16,128,19.0407
16,0,16,256,25.249
16,0,16,512,37.2807
16,0,16,1024,61.6547
16,0,16,2048,109.645
16,0,16,4096,205.787
16,0,16,8192,398.398
16,0,16,16384,782.087
16,0,16,32768,1550.89
16,0,32,16,13.9733
16,0,32,32,14.0163
16,0,32,64,14.251
16,0,32,128,19.179
16,0,32,256,25.942
16,0,32,512,38.3263
16,0,32,1024,62.3157
16,0,32,2048,110.594
16,0,32,4096,207.258
16,0,32,8192,399.7
16,0,32,16384,784.285
16,0,32,32768,1554.25
16,0,64,16,21.9847
16,0,64,32,22.07
16,0,64,64,23.2643
16,0,64,128,34.326
16,0,64,256,48.4703
16,0,64,512,74.7963
16,0,64,1024,124.024
16,0,64,2048,223.952
16,0,64,4096,424.277
16,0,64,8192,821.565
16,0,64,16384,1623.39
16,0,64,32768,3195.28
16,0,128,16,38.39
16,0,128,32,39.1263
16,0,128,64,40.929
16,0,128,128,63.9907
16,0,128,256,90.3807
16,0,128,512,141.39
16,0,128,1024,241.786
16,0,128,2048,443.296
16,0,128,4096,847.219
16,0,128,8192,1656.25
16,0,128,16384,3266.1
16,0,128,32768,6480.21
16,16,0,0,14.1977
16,16,1,16,14.198
16,16,1,32,14.187
16,16,1,64,14.208
16,16,1,128,18.9663
16,16,1,256,24.7797
16,16,1,512,36.2997
16,16,1,1024,59.7887
16,16,1,2048,106.85
16,16,1,4096,200.751
16,16,1,8192,391.604
16,16,1,16384,776.029
16,16,1,32768,1545.64
16,16,2,16,14.059
16,16,2,32,14.059
16,16,2,64,14.187
16,16,2,128,18.934
16,16,2,256,24.747
16,16,2,512,36.5017
16,16,2,1024,60.5347
16,16,2,2048,108.835
16,16,2,4096,205.188
16,16,2,8192,397.492
16,16,2,16384,780.146
16,16,2,32768,1548.54
16,16,4,16,13.9207
16,16,4,32,13.9627
16,16,4,64,14.027
16,16,4,128,18.678
16,16,4,256,24.5447
16,16,4,512,36.353
16,16,4,1024,60.396
16,16,4,2048,108.685
16,16,4,4096,204.57
16,16,4,8192,396.627
16,16,4,16384,779.996
16,16,4,32768,1549.28
16,16,8,16,13.6753
16,16,8,32,13.739
16,16,8,64,13.9097
16,16,8,128,18.699
16,16,8,256,24.4907
16,16,8,512,36.2883
16,16,8,1024,60.5133
16,16,8,2048,108.93
16,16,8,4096,205.38
16,16,8,8192,397.406
16,16,8,16384,781.063
16,16,8,32768,1548.32
16,16,16,16,13.8353
16,16,16,32,13.9093
16,16,16,64,14.0587
16,16,16,128,19.126
16,16,16,256,25.3447
16,16,16,512,37.11
16,16,16,1024,61.4093
16,16,16,2048,109.827
16,16,16,4096,206.106
16,16,16,8192,398.025
16,16,16,16384,782.311
16,16,16,32768,1551.19
16,16,32,16,14.155
16,16,32,32,14.3043
16,16,32,64,14.4427
16,16,32,128,19.275
16,16,32,256,25.708
16,16,32,512,38.3367
16,16,32,1024,62.423
16,16,32,2048,110.605
16,16,32,4096,207.557
16,16,32,8192,399.497
16,16,32,16384,784.551
16,16,32,32768,1555.37
16,16,64,16,22.2193
16,16,64,32,22.3903
16,16,64,64,23.1797
16,16,64,128,34.3047
16,16,64,256,48.225
16,16,64,512,74.4447
16,16,64,1024,124.29
16,16,64,2048,223.163
16,16,64,4096,425.897
16,16,64,8192,820.435
16,16,64,16384,1614.94
16,16,64,32768,3199.92
16,16,128,16,38.4753
16,16,128,32,39.041
16,16,128,64,40.9823
16,16,128,128,63.511
16,16,128,256,90.1567
16,16,128,512,141.592
16,16,128,1024,242.598
16,16,128,2048,443.562
16,16,128,4096,848.414
16,16,128,8192,1657.55
16,16,128,16384,3259.49
16,16,128,32768,6477.21
16,32,0,0,14.1657
16,32,1,16,14.1977
16,32,1,32,14.2403
16,32,1,64,14.283
16,32,1,128,18.9333
16,32,1,256,24.7577
16,32,1,512,36.3313
16,32,1,1024,59.8197
16,32,1,2048,106.862
16,32,1,4096,200.912
16,32,1,8192,391.326
16,32,1,16384,775.74
16,32,1,32768,1545.15
16,32,2,16,14.049
16,32,2,32,14.0273
16,32,2,64,14.1867
16,32,2,128,18.945
16,32,2,256,24.7577
16,32,2,512,36.5443
16,32,2,1024,60.5877
16,32,2,2048,108.93
16,32,2,4096,205.423
16,32,2,8192,397.534
16,32,2,16384,781.639
16,32,2,32768,1549.7
16,32,4,16,13.9527
16,32,4,32,14.1333
16,32,4,64,14.102
16,32,4,128,18.6993
16,32,4,256,24.566
16,32,4,512,36.342
16,32,4,1024,60.3853
16,32,4,2048,108.77
16,32,4,4096,204.933
