pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.017,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0997,1
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0081,1
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0035,1
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.082,1
0,n<=2,sr<=70%,kvB<=32k,kp=0,0.0181,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.2476,1
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.1894,3
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.3146,3
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.1899,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.1935,3
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.1997,1
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.4757,1
0,n<=32,sr<=40%,kvB<=32k,kp=0,0.2075,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.1625,1
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.2153,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.3192,1
0,n<=32,sr<=5%,kvB<=32k,kp=0,0.2161,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.2314,1
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.1725,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.2046,1
0,n<=32,sr<=70%,kvB<=32k,kp=0,0.1673,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.21,1
0,n<=32,sr>70%,kvB<=16k,kp=0,0.3985,2
0,n<=32,sr>70%,kvB<=1k,kp=0,0.928,2
0,n<=32,sr>70%,kvB<=32k,kp=0,0.3949,2
0,n<=32,sr>70%,kvB<=4k,kp=0,0.5154,2
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1903,1
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0794,1
0,n<=8,sr<=15%,kvB<=32k,kp=0,0.2178,1
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.1677,1
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.036,2
0,n<=8,sr<=40%,kvB<=1k,kp=0,-0.0305,2
0,n<=8,sr<=40%,kvB<=32k,kp=0,0.036,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.1053,2
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0015,1
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.1217,1
0,n<=8,sr<=70%,kvB<=32k,kp=0,0.0092,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.2258,1
0,n<=8,sr>70%,kvB<=16k,kp=0,0.8468,2
0,n<=8,sr>70%,kvB<=1k,kp=0,0.5086,2
0,n<=8,sr>70%,kvB<=32k,kp=0,0.9156,2
0,n<=8,sr>70%,kvB<=4k,kp=0,0.7522,2
16,n<=2,sr<=70%,kvB<=16k,kp<=20k,0.7298,1
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.9783,1
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9777,1
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,-50.2,1
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9872,1
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.139,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.2181,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9714,1
16,n<=2,sr<=70%,kvB<=32k,kp<=20k,0.9959,1
16,n<=2,sr<=70%,kvB<=32k,kp<=2k,0.9909,1
16,n<=2,sr<=70%,kvB<=32k,kp<=512,0.9931,1
16,n<=2,sr<=70%,kvB<=32k,kp<=8k,0.9916,1
16,n<=2,sr<=70%,kvB<=32k,kp=0,0.9979,1
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,-1.3971,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.9703,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.9608,1
16,n<=32,sr<=15%,kvB<=16k,kp<=20k,-0.0173,3
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.104,3
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0996,3
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0162,3
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0987,3
16,n<=32,sr<=15%,kvB<=1k,kp<=20k,0.0388,3
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0323,3
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0817,3
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0493,3
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.1586,3
16,n<=32,sr<=15%,kvB<=32k,kp<=20k,0.0643,3
16,n<=32,sr<=15%,kvB<=32k,kp<=2k,0.0931,3
16,n<=32,sr<=15%,kvB<=32k,kp<=512,0.0922,3
16,n<=32,sr<=15%,kvB<=32k,kp<=8k,0.0905,3
16,n<=32,sr<=15%,kvB<=32k,kp=0,0.0904,3
16,n<=32,sr<=15%,kvB<=4k,kp<=20k,0.0149,3
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0394,3
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.1315,3
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0246,3
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.112,3
16,n<=32,sr<=40%,kvB<=16k,kp<=20k,0.0282,1
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.0897,1
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0811,1
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.0139,1
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.0782,1
16,n<=32,sr<=40%,kvB<=1k,kp<=20k,0.2134,1
