regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,75.873,96.162,77.537,0.082
pure,2,1,0.5,4.0,0,0,512,2048,1280,142.211,185.253,152.867,0.2476
pure,2,1,0.5,4.0,0,0,2048,8192,5120,296.041,414.347,296.457,0.0035
pure,2,1,0.5,4.0,0,0,8192,32768,20480,866.263,1321.186,874.489,0.0181
mixed,2,1,0.5,4.0,16,0,128,512,320,78.561,112.163,111.203,0.9714
mixed,2,1,0.5,4.0,16,0,512,2048,1280,221.222,329.899,325.64,0.9608
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,760.245,1191.904,1186.398,0.9872
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,2912.303,4640.772,4637.118,0.9979
mixed,2,1,0.5,4.0,16,512,128,512,320,112.289,114.499,112.771,0.2181
mixed,2,1,0.5,4.0,16,512,512,2048,1280,221.476,329.353,326.153,0.9703
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,760.404,1191.68,1182.049,0.9777
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,2909.933,4635.106,4623.165,0.9931
mixed,2,1,0.5,4.0,16,2048,128,512,320,328.106,328.329,328.137,0.139
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,330.762,331.656,329.513,-1.3971
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,762.036,1192.384,1183.041,0.9783
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,2914.956,4639.355,4623.676,0.9909
mixed,2,1,0.5,4.0,16,8192,128,512,320,1191.618,1190.593,1191.2,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,1193.631,1193.12,1190.913,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1194.081,1194.176,1189.312,-50.2
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,2919.502,4641.724,4627.197,0.9916
mixed,2,1,0.5,4.0,16,20480,128,512,320,2914.126,2912.557,2912.527,
mixed,2,1,0.5,4.0,16,20480,512,2048,1280,2915.534,2915.247,2913.997,
mixed,2,1,0.5,4.0,16,20480,2048,8192,5120,2915.247,2917.26,2916.716,0.7298
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,2917.772,4638.333,4631.293,0.9959
mixed,2,1,0.5,4.0,64,0,128,512,320,79.779,113.765,111.971,0.9472
mixed,2,1,0.5,4.0,64,0,512,2048,1280,222.278,330.057,326.664,0.9685
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,761.269,1191.008,1183.583,0.9827
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,2912.078,4635.069,4631.483,0.9979
mixed,2,1,0.5,4.0,64,512,128,512,320,115.044,117.09,115.97,0.4526
mixed,2,1,0.5,4.0,64,512,512,2048,1280,222.31,329.994,326.537,0.9679
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,759.891,1193.345,1187.041,0.9855
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,2912.654,4627.64,4640.764,1.0077
mixed,2,1,0.5,4.0,64,2048,128,512,320,330.377,332.648,331.66,0.5649
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,333.002,332.713,332.777,
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,760.724,1191.616,1181.886,0.9774
mixed,2,1,0.5,4.0,64,2048,8192,32768,20480,2908.268,4631.867,4622.041,0.9943
mixed,2,1,0.5,4.0,64,8192,128,512,320,1194.719,1196.672,1196.0,0.6559
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,1197.536,1196.862,1196.959,
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,1196.864,1197.343,1200.062,6.6764
mixed,2,1,0.5,4.0,64,8192,8192,32768,20480,2916.685,4635.77,4632.567,0.9981
mixed,2,1,0.5,4.0,64,20480,128,512,320,2914.571,2916.14,2917.646,1.9598
mixed,2,1,0.5,4.0,64,20480,512,2048,1280,2919.213,2919.948,2920.045,1.132
mixed,2,1,0.5,4.0,64,20480,2048,8192,5120,2921.134,2921.259,2921.292,1.264
mixed,2,1,0.5,4.0,64,20480,8192,32768,20480,2922.413,4635.833,4633.944,0.9989
mixed,2,1,0.5,4.0,256,0,128,512,320,129.669,163.398,160.996,0.9288
mixed,2,1,0.5,4.0,256,0,512,2048,1280,269.702,374.537,373.356,0.9887
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,798.836,1225.665,1218.465,0.9831
mixed,2,1,0.5,4.0,256,0,8192,32768,20480,2930.83,4634.905,4646.43,1.0068
mixed,2,1,0.5,4.0,256,512,128,512,320,237.925,241.127,238.502,0.1802
mixed,2,1,0.5,4.0,256,512,512,2048,1280,340.617,447.083,434.635,0.8831
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,871.03,1298.209,1289.378,0.9793
mixed,2,1,0.5,4.0,256,512,8192,32768,20480,3001.037,4703.865,4679.323,0.9856
mixed,2,1,0.5,4.0,256,2048,128,512,320,480.077,545.421,491.308,0.1719
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,660.175,666.576,662.097,0.3003
mixed,2,1,0.5,4.0,256,2048,2048,8192,5120,1088.861,1519.528,1509.128,0.9759
mixed,2,1,0.5,4.0,256,2048,8192,32768,20480,3250.132,4971.422,4959.521,0.9931
mixed,2,1,0.5,4.0,256,8192,128,512,320,1335.364,1394.694,1340.864,0.0927
mixed,2,1,0.5,4.0,256,8192,512,2048,1280,1602.89,1817.681,1608.778,0.0274
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,2350.493,2379.389,2374.557,0.8328
mixed,2,1,0.5,4.0,256,8192,8192,32768,20480,4104.97,5828.789,5812.951,0.9908
mixed,2,1,0.5,4.0,256,20480,128,512,320,3037.932,3099.377,3048.175,0.1667
mixed,2,1,0.5,4.0,256,20480,512,2048,1280,3327.507,3546.619,3319.316,-0.0374
mixed,2,1,0.5,4.0,256,20480,2048,8192,5120,4384.368,5228.614,4414.261,0.0354
mixed,2,1,0.5,4.0,256,20480,8192,32768,20480,5820.979,7544.16,7537.312,0.996
mixed,2,1,0.5,4.0,1024,0,128,512,320,534.381,550.863,537.421,0.1844
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,647.374,782.548,738.706,0.6757
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,1234.335,1653.833,1632.873,0.95
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,3347.862,5035.331,5020.029,0.9909
mixed,2,1,0.5,4.0,1024,512,128,512,320,832.246,847.863,833.493,0.0798
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,892.502,1031.835,980.727,0.6332
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,1547.561,1993.395,1912.656,0.8189
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,3683.743,5381.064,5357.066,0.9859
mixed,2,1,0.5,4.0,1024,2048,128,512,320,1681.674,1707.568,1691.179,0.3671
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,1804.366,1884.399,1781.421,-0.2867
mixed,2,1,0.5,4.0,1024,2048,2048,8192,5120,2292.41,2812.934,2697.032,0.7773
mixed,2,1,0.5,4.0,1024,2048,8192,32768,20480,4787.352,6517.253,6368.161,0.9138
mixed,2,1,0.5,4.0,1024,8192,128,512,320,5041.024,5061.447,5042.304,0.0627
mixed,2,1,0.5,4.0,1024,8192,512,2048,1280,5152.065,5263.975,5152.26,0.0017
mixed,2,1,0.5,4.0,1024,8192,2048,8192,5120,5706.067,6084.83,5393.96,-0.824
mixed,2,1,0.5,4.0,1024,8192,8192,32768,20480,7827.428,10530.953,9476.812,0.6101
mixed,2,1,0.5,4.0,1024,20480,128,512,320,11772.356,11791.942,11761.029,-0.5783
mixed,2,1,0.5,4.0,1024,20480,512,2048,1280,11882.863,11996.4,11875.05,-0.0688
mixed,2,1,0.5,4.0,1024,20480,2048,8192,5120,12432.186,12864.738,12125.958,-0.708
mixed,2,1,0.5,4.0,1024,20480,8192,32768,20480,14528.368,16273.193,16117.521,0.9108
mixed,2,1,0.5,4.0,4096,0,128,512,320,5116.259,5131.298,5121.348,0.3384
mixed,2,1,0.5,4.0,4096,0,512,2048,1280,5176.554,5234.02,5178.178,0.0283
mixed,2,1,0.5,4.0,4096,0,2048,8192,5120,5634.448,6228.095,6007.097,0.6277
mixed,2,1,0.5,4.0,4096,0,8192,32768,20480,8496.984,10609.547,10041.307,0.731
mixed,2,1,0.5,4.0,4096,512,128,512,320,6214.236,6230.814,6215.165,0.056
mixed,2,1,0.5,4.0,4096,512,512,2048,1280,6280.893,6322.527,6278.302,-0.0622
mixed,2,1,0.5,4.0,4096,512,2048,8192,5120,6660.067,7269.589,7033.742,0.6131
mixed,2,1,0.5,4.0,4096,512,8192,32768,20480,9552.849,11748.839,11142.937,0.7241
mixed,2,1,0.5,4.0,4096,2048,128,512,320,9482.416,9493.52,9487.183,0.4293
mixed,2,1,0.5,4.0,4096,2048,512,2048,1280,9545.137,9585.645,9539.793,-0.1319
mixed,2,1,0.5,4.0,4096,2048,2048,8192,5120,9798.679,10331.428,10107.427,0.5795
mixed,2,1,0.5,4.0,4096,2048,8192,32768,20480,12721.249,14965.144,14309.826,0.708
mixed,2,1,0.5,4.0,4096,8192,128,512,320,22678.45,22692.514,22680.825,0.1689
mixed,2,1,0.5,4.0,4096,8192,512,2048,1280,22726.775,22780.414,22734.144,0.1374
