layer,tokens,time_us
act_fn,1,2.752
act_fn,2,2.784
act_fn,3,2.80533
act_fn,4,2.82667
act_fn,5,2.85867
act_fn,6,2.84833
act_fn,7,2.84767
act_fn,8,2.85867
act_fn,9,2.83733
act_fn,10,2.86933
act_fn,11,2.89067
act_fn,12,2.91233
act_fn,13,2.88033
act_fn,14,2.92267
act_fn,15,2.912
act_fn,16,2.94367
act_fn,20,3.01833
act_fn,24,3.07267
act_fn,28,3.14667
act_fn,32,3.33867
act_fn,36,3.328
act_fn,40,2.95467
act_fn,44,3.02933
act_fn,48,3.12533
act_fn,52,3.13633
act_fn,56,3.31733
act_fn,60,3.38133
act_fn,64,3.584
act_fn,80,4.84267
act_fn,96,4.55467
act_fn,112,4.57633
act_fn,128,5.23733
act_fn,144,7.68033
act_fn,160,8.171
act_fn,176,8.72533
act_fn,192,8.98133
act_fn,208,10.112
act_fn,224,10.891
act_fn,240,11.9467
act_fn,256,12.6613
act_fn,272,12.8427
act_fn,288,14.0157
act_fn,304,14.752
act_fn,320,16.672
act_fn,336,18.0693
act_fn,352,18.9227
act_fn,368,19.0507
act_fn,384,19.755
act_fn,400,20.4373
act_fn,416,21.4507
act_fn,432,22.2723
act_fn,448,23.2323
act_fn,464,24.2347
act_fn,480,25.387
act_fn,496,26.2187
act_fn,512,27.4987
act_fn,528,28.672
act_fn,544,29.7707
act_fn,560,30.528
act_fn,576,31.3707
act_fn,592,32.4377
act_fn,608,33.2163
act_fn,624,34.2193
act_fn,640,35.3493
act_fn,656,34.6663
act_fn,672,35.307
act_fn,688,36.2453
act_fn,704,37.206
act_fn,720,38.1443
act_fn,736,39.1363
act_fn,752,40.0007
act_fn,768,40.6723
act_fn,784,43.2853
act_fn,800,44.3843
act_fn,816,44.95
act_fn,832,45.7817
act_fn,848,46.9977
act_fn,864,47.6803
act_fn,880,48.7153
act_fn,896,49.4617
act_fn,912,50.2723
act_fn,928,51.3497
act_fn,944,52.192
act_fn,960,52.9073
act_fn,976,54.0693
act_fn,992,54.4747
act_fn,1008,55.8403
act_fn,1024,56.5443
act_fn,1040,55.6053
act_fn,1056,56.5337
act_fn,1072,57.451
act_fn,1088,58.443
act_fn,1104,59.6593
act_fn,1120,60.256
act_fn,1136,61.1093
act_fn,1152,62.1443
act_fn,1168,61.974
act_fn,1184,62.6133
act_fn,1200,63.7023
act_fn,1216,64.6407
act_fn,1232,65.643
act_fn,1248,66.2513
act_fn,1264,67.4987
