pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0676,2
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1762,2
0,n<=128,sr<=15%,kvB<=32k,kp=0,0.0746,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.082,2
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0013,1
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.2726,1
0,n<=128,sr<=40%,kvB<=32k,kp=0,-0.0034,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0065,1
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0575,4
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0826,4
0,n<=128,sr<=5%,kvB<=32k,kp=0,0.0613,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.028,4
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0017,1
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.1908,1
0,n<=128,sr<=70%,kvB<=32k,kp=0,0.0055,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0099,1
0,n<=128,sr>70%,kvB<=16k,kp=0,0.1549,2
0,n<=128,sr>70%,kvB<=1k,kp=0,0.6027,2
0,n<=128,sr>70%,kvB<=32k,kp=0,0.015,1
0,n<=128,sr>70%,kvB<=4k,kp=0,0.268,2
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.2863,1
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.4739,1
0,n<=2,sr<=70%,kvB<=32k,kp=0,0.171,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.4516,1
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0035,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,-0.005,1
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.0016,1
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.2235,3
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.2828,3
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.2425,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.1664,3
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0614,1
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0735,1
0,n<=32,sr<=40%,kvB<=32k,kp=0,0.0876,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0402,1
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.2774,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0804,1
0,n<=32,sr<=5%,kvB<=32k,kp=0,0.2874,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1859,1
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0175,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.3539,1
0,n<=32,sr<=70%,kvB<=32k,kp=0,-0.0048,1
