regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,68.867,70.688,69.73,0.4739
pure,2,1,0.5,4.0,0,0,512,2048,1280,77.026,85.248,80.739,0.4516
pure,2,1,0.5,4.0,0,0,2048,8192,5120,146.627,177.475,137.795,-0.2863
pure,2,1,0.5,4.0,0,0,8192,32768,20480,290.728,430.857,314.695,0.171
mixed,2,1,0.5,4.0,16,0,128,512,320,77.088,110.786,110.242,0.9839
mixed,2,1,0.5,4.0,16,0,512,2048,1280,218.469,327.72,324.87,0.9739
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,758.321,1190.266,1186.713,0.9918
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,2916.702,4640.262,4637.512,0.9984
mixed,2,1,0.5,4.0,16,512,128,512,320,111.683,112.611,111.715,0.0345
mixed,2,1,0.5,4.0,16,512,512,2048,1280,219.173,326.694,324.551,0.9801
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,758.991,1189.85,1186.235,0.9916
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,2909.792,4615.429,4634.665,1.0113
mixed,2,1,0.5,4.0,16,2048,128,512,320,327.464,327.494,327.27,-6.4667
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,327.11,327.88,327.719,0.7909
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,758.609,1190.523,1183.897,0.9847
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,2913.534,4638.694,4633.702,0.9971
mixed,2,1,0.5,4.0,16,8192,128,512,320,1192.954,1193.082,1191.738,-9.5
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,1190.203,1193.658,1192.571,0.6854
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1191.834,1191.065,1190.491,
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,2913.376,4640.679,4633.861,0.9961
mixed,2,1,0.5,4.0,16,20480,128,512,320,2911.357,2908.833,2916.834,
mixed,2,1,0.5,4.0,16,20480,512,2048,1280,2908.96,2914.527,2918.017,1.6269
mixed,2,1,0.5,4.0,16,20480,2048,8192,5120,2906.08,2902.175,2912.737,
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,2920.673,4642.341,4631.495,0.9937
mixed,2,1,0.5,4.0,64,0,128,512,320,78.114,111.842,111.426,0.9877
mixed,2,1,0.5,4.0,64,0,512,2048,1280,219.811,328.84,325.129,0.966
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,759.795,1192.155,1186.874,0.9878
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,2914.368,4634.725,4621.732,0.9924
mixed,2,1,0.5,4.0,64,512,128,512,320,114.274,114.275,114.146,-128.0
mixed,2,1,0.5,4.0,64,512,512,2048,1280,219.879,328.424,325.734,0.9752
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,759.442,1191.161,1186.81,0.9899
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,2913.632,4640.901,4639.621,0.9993
mixed,2,1,0.5,4.0,64,2048,128,512,320,329.415,329.704,330.024,2.1073
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,330.664,330.694,329.991,-22.4333
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,759.601,1190.395,1187.578,0.9935
mixed,2,1,0.5,4.0,64,2048,8192,32768,20480,2917.343,4636.355,4633.57,0.9984
mixed,2,1,0.5,4.0,64,8192,128,512,320,1195.609,1195.804,1196.121,2.6256
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,1190.809,1195.161,1196.122,1.2208
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,1193.721,1193.339,1195.257,
mixed,2,1,0.5,4.0,64,8192,8192,32768,20480,2916.223,4636.293,4609.476,0.9844
mixed,2,1,0.5,4.0,64,20480,128,512,320,2910.048,2911.583,2919.264,6.0039
mixed,2,1,0.5,4.0,64,20480,512,2048,1280,2913.922,2907.839,2913.119,
mixed,2,1,0.5,4.0,64,20480,2048,8192,5120,2918.528,2919.583,2913.408,-4.8531
mixed,2,1,0.5,4.0,64,20480,8192,32768,20480,2918.334,4638.023,4624.293,0.992
mixed,2,1,0.5,4.0,256,0,128,512,320,79.235,112.803,112.323,0.9857
mixed,2,1,0.5,4.0,256,0,512,2048,1280,221.413,329.19,327.208,0.9816
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,760.753,1190.042,1185.785,0.9901
mixed,2,1,0.5,4.0,256,0,8192,32768,20480,2911.583,4634.182,4633.731,0.9997
mixed,2,1,0.5,4.0,256,512,128,512,320,134.303,134.595,134.659,1.2192
mixed,2,1,0.5,4.0,256,512,512,2048,1280,221.891,329.255,327.687,0.9854
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,760.143,1189.594,1183.898,0.9867
mixed,2,1,0.5,4.0,256,512,8192,32768,20480,2913.6,4631.843,4631.395,0.9997
mixed,2,1,0.5,4.0,256,2048,128,512,320,348.774,349.321,348.647,-0.2322
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,348.583,349.96,347.08,-1.0915
