prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,13.7073
0,0,1,32,13.7387
0,0,1,64,13.8883
0,0,1,128,18.7737
0,0,1,256,19.019
0,0,1,512,19.4247
0,0,1,1024,20.3733
0,0,1,2048,22.347
0,0,1,4096,26.5497
0,0,1,8192,43.393
0,0,1,16384,65.2597
0,0,1,32768,90.5937
0,0,2,16,19.2217
0,0,2,32,19.2323
0,0,2,64,19.382
0,0,2,128,22.6883
0,0,2,256,22.8377
0,0,2,512,23.488
0,0,2,1024,25.0667
0,0,2,2048,28.4063
0,0,2,4096,41.6333
0,0,2,8192,58.7857
0,0,2,16384,83.7237
0,0,2,32768,143.907
0,0,4,16,19.4243
0,0,4,32,19.5523
0,0,4,64,19.7123
0,0,4,128,23.2007
0,0,4,256,23.5733
0,0,4,512,25.014
0,0,4,1024,31.8833
0,0,4,2048,40.6297
0,0,4,4096,56.76
0,0,4,8192,81.8263
0,0,4,16384,141.688
0,0,4,32768,254.278
0,0,8,16,19.6167
0,0,8,32,19.702
0,0,8,64,19.8193
0,0,8,128,23.6593
0,0,8,256,24.9823
0,0,8,512,31.7343
0,0,8,1024,39.659
0,0,8,2048,61.2383
0,0,8,4096,86.7323
0,0,8,8192,140.793
0,0,8,16384,241.039
0,0,8,32768,441.31
0,0,16,16,19.627
0,0,16,32,19.7333
0,0,16,64,20.4163
0,0,16,128,24.5337
0,0,16,256,32.9077
0,0,16,512,45.174
0,0,16,1024,59.297
0,0,16,2048,87.789
0,0,16,4096,137.923
0,0,16,8192,239.12
0,0,16,16384,440.233
0,0,16,32768,842.919
0,0,32,16,19.9897
0,0,32,32,20.5017
0,0,32,64,21.472
0,0,32,128,33.7177
0,0,32,256,46.6567
0,0,32,512,59.809
0,0,32,1024,86.5513
0,0,32,2048,136.472
0,0,32,4096,238.064
0,0,32,8192,442.633
0,0,32,16384,846.151
0,0,32,32768,1659.9
0,0,64,16,28.7903
0,0,64,32,29.4193
0,0,64,64,31.5527
0,0,64,128,42.6247
0,0,64,256,56.556
0,0,64,512,82.8813
0,0,64,1024,133.496
0,0,64,2048,234.063
0,0,64,4096,437.31
0,0,64,8192,839.195
0,0,64,16384,1645.21
0,0,64,32768,3263.44
0,0,128,16,44.8223
0,0,128,32,45.729
0,0,128,64,48.7477
0,0,128,128,71.308
0,0,128,256,97.4847
0,0,128,512,148.483
0,0,128,1024,249.594
0,0,128,2048,452.724
0,0,128,4096,860.081
0,0,128,8192,1669.3
0,0,128,16384,3293.93
0,0,128,32768,6529.7
0,0,256,16,78.3273
0,0,256,32,80.706
0,0,256,64,83.2227
0,0,256,128,127.694
0,0,256,256,178.979
0,0,256,512,281.104
0,0,256,1024,482.548
0,0,256,2048,892.114
0,0,256,4096,1703.03
0,0,256,8192,3342.95
0,0,256,16384,6606.86
16,0,0,0,14.5387
16,0,1,16,14.134
16,0,1,32,14.1447
16,0,1,64,14.1763
16,0,1,128,19.2747
16,0,1,256,25.2273
16,0,1,512,36.7157
16,0,1,1024,60.14
16,0,1,2048,108.023
16,0,1,4096,203.375
16,0,1,8192,394.536
16,0,1,16384,777.061
16,0,1,32768,1544.49
16,0,2,16,13.995
16,0,2,32,14.0487
16,0,2,64,14.0593
16,0,2,128,18.9873
16,0,2,256,25.014
16,0,2,512,36.694
16,0,2,1024,60.8117
16,0,2,2048,108.888
16,0,2,4096,204.857
16,0,2,8192,396.606
16,0,2,16384,779.354
16,0,2,32768,1545.9
16,0,4,16,13.7493
16,0,4,32,13.771
16,0,4,64,13.888
16,0,4,128,18.8057
16,0,4,256,24.758
16,0,4,512,36.5447
16,0,4,1024,60.5667
16,0,4,2048,108.824
16,0,4,4096,204.676
16,0,4,8192,395.56
16,0,4,16384,777.988
16,0,4,32768,1544.31
16,0,8,16,14.1763
16,0,8,32,14.3797
16,0,8,64,14.187
16,0,8,128,19.179
16,0,8,256,25.1313
16,0,8,512,37.1957
16,0,8,1024,61.452
16,0,8,2048,109.474
16,0,8,4096,205.743
16,0,8,8192,397.544
16,0,8,16384,780.688
16,0,8,32768,1545.94
16,0,16,16,14.3253
16,0,16,32,14.3473
16,0,16,64,14.5707
16,0,16,128,19.4777
16,0,16,256,25.6323
16,0,16,512,38.444
16,0,16,1024,63.4783
16,0,16,2048,113.261
16,0,16,4096,211.343
16,0,16,8192,408.19
16,0,16,16384,801.723
16,0,16,32768,1589.42
16,0,32,16,22.6887
16,0,32,32,22.8487
16,0,32,64,23.2537
16,0,32,128,33.782
16,0,32,256,46.0277
16,0,32,512,70.7317
16,0,32,1024,120.088
16,0,32,2048,217.092
16,0,32,4096,411.656
16,0,32,8192,793.232
16,0,32,16384,1567.87
16,0,32,32768,3105.54
16,0,64,16,38.678
16,0,64,32,39.1367
16,0,64,64,40.321
16,0,64,128,62.6997
16,0,64,256,88.7917
16,0,64,512,139.949
16,0,64,1024,240.751
16,0,64,2048,440.435
16,0,64,4096,841.745
16,0,64,8192,1645.65
16,0,64,16384,3254.45
16,0,64,32768,6446.39
16,0,128,16,71.138
16,0,128,32,72.002
16,0,128,64,74.689
16,0,128,128,120.792
16,0,128,256,171.534
16,0,128,512,272.656
16,0,128,1024,472.799
16,0,128,2048,882.482
16,0,128,4096,1690.51
16,0,128,8192,3318.38
16,0,128,16384,6576.22
16,0,128,32768,13062.6
16,16,0,0,14.699
16,16,1,16,14.4223
16,16,1,32,14.4537
16,16,1,64,14.4217
16,16,1,128,19.3283
16,16,1,256,25.227
16,16,1,512,36.747
16,16,1,1024,60.2473
16,16,1,2048,107.949
16,16,1,4096,203.525
16,16,1,8192,394.984
16,16,1,16384,778.052
16,16,1,32768,1539.91
16,16,2,16,14.016
16,16,2,32,14.0907
16,16,2,64,14.2613
16,16,2,128,18.976
16,16,2,256,24.843
16,16,2,512,36.822
16,16,2,1024,60.737
16,16,2,2048,108.92
16,16,2,4096,204.516
16,16,2,8192,396.349
16,16,2,16384,779.013
16,16,2,32768,1545.03
16,16,4,16,14.0163
16,16,4,32,14.0057
16,16,4,64,14.059
16,16,4,128,18.8377
16,16,4,256,24.7257
16,16,4,512,36.5123
16,16,4,1024,60.4387
16,16,4,2048,108.823
16,16,4,4096,204.793
16,16,4,8192,395.955
16,16,4,16384,779.141
16,16,4,32768,1545.39
16,16,8,16,14.272
16,16,8,32,14.2087
16,16,8,64,14.4853
16,16,8,128,19.104
16,16,8,256,25.0247
16,16,8,512,36.9187
16,16,8,1024,61.441
16,16,8,2048,109.453
16,16,8,4096,205.615
16,16,8,8192,397.256
16,16,8,16384,780.389
16,16,8,32768,1546.26
16,16,16,16,14.2727
16,16,16,32,14.5177
16,16,16,64,14.7947
16,16,16,128,19.5953
16,16,16,256,25.707
16,16,16,512,38.945
16,16,16,1024,63.628
16,16,16,2048,112.941
16,16,16,4096,211.737
16,16,16,8192,408.488
16,16,16,16384,801.691
16,16,16,32768,1588.71
16,16,32,16,22.934
16,16,32,32,22.923
16,16,32,64,23.478
16,16,32,128,33.6433
16,16,32,256,45.9423
16,16,32,512,70.86
16,16,32,1024,119.64
16,16,32,2048,216.004
16,16,32,4096,409.544
16,16,32,8192,800.667
16,16,32,16384,1578.88
16,16,32,32768,3113.16
16,16,64,16,38.913
16,16,64,32,39.4567
16,16,64,64,40.3847
16,16,64,128,62.6787
16,16,64,256,88.9087
16,16,64,512,140.024
16,16,64,1024,241.189
16,16,64,2048,441.438
16,16,64,4096,841.478
16,16,64,8192,1649
16,16,64,16384,3249.63
16,16,64,32768,6450.55
16,16,128,16,70.9887
16,16,128,32,71.8523
16,16,128,64,74.423
16,16,128,128,120.834
16,16,128,256,171.491
16,16,128,512,272.368
16,16,128,1024,473.663
16,16,128,2048,879.911
16,16,128,4096,1691.22
16,16,128,8192,3325.69
16,16,128,16384,6590.26
16,16,128,32768,13096.5
16,32,0,0,14.6563
16,32,1,16,14.3573
16,32,1,32,14.4107
16,32,1,64,14.539
16,32,1,128,19.3287
16,32,1,256,25.11
16,32,1,512,36.6623
16,32,1,1024,60.129
16,32,1,2048,107.959
16,32,1,4096,203.386
16,32,1,8192,394.323
16,32,1,16384,776.944
16,32,1,32768,1543.62
16,32,2,16,14.0587
16,32,2,32,14.0483
16,32,2,64,14.2187
16,32,2,128,18.8803
16,32,2,256,24.6827
16,32,2,512,36.822
16,32,2,1024,60.7157
16,32,2,2048,108.984
16,32,2,4096,204.9
16,32,2,8192,396.616
16,32,2,16384,779.557
16,32,2,32768,1544.79
16,32,4,16,13.9417
16,32,4,32,14.1013
16,32,4,64,14.166
